grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
1000,1,1,60000,1,0,28.715,5329,5357.72
1000,1,1,60000,1,1,28.584,5258,5286.58
1000,1,1,60000,1,2,35.477,5264,5299.48
1000,1,1,60000,1,3,95.321,5396,5491.32
1000,1,1,60000,1,4,54.093,5349,5403.09
1000,1,1,60000,1,5,54.854,5351,5405.85
1000,1,1,60000,1,6,54.283,5328,5382.28
1000,1,1,60000,1,7,54.163,5346,5400.16
1000,1,1,60000,1,8,54.533,5323,5377.53
1000,1,1,60000,1,9,54.103,5346,5400.1
1000,1,1,60000,1,10,54.093,5382,5436.09
1000,1,1,60000,1,11,54.914,5356,5410.91
1000,1,1,60000,1,12,54.624,5352,5406.62
1000,1,1,60000,1,13,55.094,5406,5461.09
1000,1,1,60000,1,14,54.764,5367,5421.76
1000,1,1,60000,1,15,54.804,5383,5437.8
1000,1,1,60000,1,16,54.664,5381,5435.66
1000,1,1,60000,1,17,55.716,5389,5444.72
1000,1,1,60000,1,18,58.661,5375,5433.66
1000,1,1,60000,1,19,48.052,5312,5360.05
1000,1,1,60000,1,20,48.703,5306,5354.7
1000,1,1,60000,1,21,58.08,5369,5427.08
1000,1,1,60000,1,22,57.96,5336,5393.96
1000,1,1,60000,1,23,58.28,5361,5419.28
1000,1,1,60000,1,24,57.729,5355,5412.73
1000,1,1,60000,1,25,57.609,5334,5391.61
1000,1,1,60000,1,26,58,5349,5407
1000,1,1,60000,1,27,57.81,5335,5392.81
1000,1,1,60000,1,28,57.739,5340,5397.74
1000,1,1,60000,1,29,58.261,5352,5410.26
1000,1,1,60000,1,30,58,5366,5424
1000,1,1,60000,1,31,58.572,5343,5401.57
1000,1,1,60000,1,32,58.161,5357,5415.16
1000,1,1,60000,1,33,43.262,5297,5340.26
1000,1,1,60000,1,34,43.513,5299,5342.51
1000,1,1,60000,1,35,59.042,5347,5406.04
1000,1,1,60000,1,36,62.389,5352,5414.39
1000,1,1,60000,1,37,58.431,5337,5395.43
1000,1,1,60000,1,38,57.95,5347,5404.95
1000,1,1,60000,1,39,57.579,5358,5415.58
1000,1,1,60000,1,40,57.8,5362,5419.8
1000,1,1,60000,1,41,57.72,5343,5400.72
1000,1,1,60000,1,42,58.301,5350,5408.3
1000,1,1,60000,1,43,57.659,5339,5396.66
1000,1,1,60000,1,44,53.251,5308,5361.25
1000,1,1,60000,1,45,43.623,5291,5334.62
1000,1,1,60000,1,46,58.12,5478,5536.12
1000,1,1,60000,1,47,57.96,5348,5405.96
1000,1,1,60000,1,48,57.719,5349,5406.72
1000,1,1,60000,1,49,57.198,5346,5403.2
1000,1,1,60000,1,50,57.719,5365,5422.72
1000,1,1,60000,1,51,57.8,5353,5410.8
1000,1,1,60000,1,52,58.15,5371,5429.15
1000,1,1,60000,1,53,58.121,5349,5407.12
1000,1,1,60000,1,54,57.709,5358,5415.71
1000,1,1,60000,1,55,43.282,5300,5343.28
1000,1,1,60000,1,56,43.192,5355,5398.19
1000,1,1,60000,1,57,57.9,5351,5408.9
1000,1,1,60000,1,58,57.961,5396,5453.96
1000,1,1,60000,1,59,58.35,5352,5410.35
1000,1,1,60000,1,60,59.112,5366,5425.11
1000,1,1,60000,1,61,57.75,5350,5407.75
1000,1,1,60000,1,62,43.442,5311,5354.44
1000,1,1,60000,1,63,43.713,5308,5351.71
1000,1,1,60000,1,64,58.041,5380,5438.04
1000,1,1,60000,1,65,57.719,5354,5411.72
1000,1,1,60000,1,66,57.78,5350,5407.78
1000,1,1,60000,1,67,57.95,5346,5403.95
1000,1,1,60000,1,68,58.291,5355,5413.29
1000,1,1,60000,1,69,58.06,5346,5404.06
1000,1,1,60000,1,70,57.63,5344,5401.63
1000,1,1,60000,1,71,43.642,5305,5348.64
1000,1,1,60000,1,72,43.242,5320,5363.24
1000,1,1,60000,1,73,58.05,5348,5406.05
1000,1,1,60000,1,74,58.281,5373,5431.28
1000,1,1,60000,1,75,58.08,5388,5446.08
1000,1,1,60000,1,76,58.291,5340,5398.29
1000,1,1,60000,1,77,43.673,5291,5334.67
1000,1,1,60000,1,78,43.372,5287,5330.37
1000,1,1,60000,1,79,57.809,5371,5428.81
1000,1,1,60000,1,80,58.02,5344,5402.02
1000,1,1,60000,1,81,57.93,5362,5419.93
1000,1,1,60000,1,82,58.02,5349,5407.02
1000,1,1,60000,1,83,57.809,5353,5410.81
1000,1,1,60000,1,84,57.86,5352,5409.86
1000,1,1,60000,1,85,57.93,5384,5441.93
1000,1,1,60000,1,86,58.11,5359,5417.11
1000,1,1,60000,1,87,58.691,5355,5413.69
1000,1,1,60000,1,88,58.191,5343,5401.19
1000,1,1,60000,1,89,57.89,5353,5410.89
1000,1,1,60000,1,90,57.91,5343,5400.91
1000,1,1,60000,1,91,63.561,5353,5416.56
1000,1,1,60000,1,92,55.715,5331,5386.72
1000,1,1,60000,1,93,43.592,5320,5363.59
1000,1,1,60000,1,94,43.933,5298,5341.93
1000,1,1,60000,1,95,57.86,5365,5422.86
1000,1,1,60000,1,96,57.71,5352,5409.71
1000,1,1,60000,1,97,57.689,5338,5395.69
1000,1,1,60000,1,98,57.86,5334,5391.86
1000,1,1,60000,1,99,58.511,5351,5409.51
