grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
10000,1,1,60000,1,0,277.046,8014,8291.05
10000,1,1,60000,1,1,426.019,7847,8273.02
10000,1,1,60000,1,2,625.247,7835,8460.25
10000,1,1,60000,1,3,452.66,7815,8267.66
10000,1,1,60000,1,4,465.223,7845,8310.22
10000,1,1,60000,1,5,621.32,7892,8513.32
10000,1,1,60000,1,6,618.264,7866,8484.26
10000,1,1,60000,1,7,610.769,7851,8461.77
10000,1,1,60000,1,8,610.248,7846,8456.25
10000,1,1,60000,1,9,616.991,8151,8767.99
10000,1,1,60000,1,10,620.097,7839,8459.1
10000,1,1,60000,1,11,622.792,7836,8458.79
10000,1,1,60000,1,12,628.142,7837,8465.14
10000,1,1,60000,1,13,620.789,7854,8474.79
10000,1,1,60000,1,14,611.06,7854,8465.06
10000,1,1,60000,1,15,611.311,7865,8476.31
10000,1,1,60000,1,16,616.831,7828,8444.83
10000,1,1,60000,1,17,465.634,7848,8313.63
10000,1,1,60000,1,18,631.649,7848,8479.65
10000,1,1,60000,1,19,631.989,7861,8492.99
10000,1,1,60000,1,20,623.353,7857,8480.35
10000,1,1,60000,1,21,617.993,7844,8461.99
10000,1,1,60000,1,22,452.569,7820,8272.57
10000,1,1,60000,1,23,616.29,7847,8463.29
10000,1,1,60000,1,24,620.318,7841,8461.32
10000,1,1,60000,1,25,619.657,7833,8452.66
10000,1,1,60000,1,26,617.733,7861,8478.73
10000,1,1,60000,1,27,454.093,7802,8256.09
10000,1,1,60000,1,28,619.215,7792,8411.22
10000,1,1,60000,1,29,624.084,7785,8409.08
10000,1,1,60000,1,30,618.333,7802,8420.33
10000,1,1,60000,1,31,611.591,7810,8421.59
10000,1,1,60000,1,32,610.689,7799,8409.69
10000,1,1,60000,1,33,612.372,7807,8419.37
10000,1,1,60000,1,34,631.328,7804,8435.33
10000,1,1,60000,1,35,619.677,7791,8410.68
10000,1,1,60000,1,36,618.815,7809,8427.82
10000,1,1,60000,1,37,613.615,7812,8425.61
10000,1,1,60000,1,38,612.403,7816,8428.4
10000,1,1,60000,1,39,615.298,7803,8418.3
10000,1,1,60000,1,40,620.598,7802,8422.6
10000,1,1,60000,1,41,615.668,7816,8431.67
10000,1,1,60000,1,42,623.443,7805,8428.44
10000,1,1,60000,1,43,631.75,7793,8424.75
10000,1,1,60000,1,44,615.669,7796,8411.67
10000,1,1,60000,1,45,617.843,7811,8428.84
10000,1,1,60000,1,46,616.651,7802,8418.65
10000,1,1,60000,1,47,625.838,7823,8448.84
10000,1,1,60000,1,48,622.371,7799,8421.37
10000,1,1,60000,1,49,612.292,7802,8414.29
10000,1,1,60000,1,50,612.563,7817,8429.56
10000,1,1,60000,1,51,630.106,7803,8433.11
10000,1,1,60000,1,52,633.884,7784,8417.88
10000,1,1,60000,1,53,613.875,7811,8424.88
10000,1,1,60000,1,54,614.597,7809,8423.6
10000,1,1,60000,1,55,624.125,7802,8426.12
10000,1,1,60000,1,56,625.487,7810,8435.49
10000,1,1,60000,1,57,592.855,7803,8395.85
10000,1,1,60000,1,58,573.869,7798,8371.87
10000,1,1,60000,1,59,576.564,7800,8376.56
10000,1,1,60000,1,60,573.909,7785,8358.91
10000,1,1,60000,1,61,578.879,7793,8371.88
10000,1,1,60000,1,62,572.387,7798,8370.39
10000,1,1,60000,1,63,561.827,7824,8385.83
10000,1,1,60000,1,64,536.568,7808,8344.57
10000,1,1,60000,1,65,573.168,7823,8396.17
10000,1,1,60000,1,66,579.52,7839,8418.52
10000,1,1,60000,1,67,575.102,7832,8407.1
10000,1,1,60000,1,68,573.428,7837,8410.43
10000,1,1,60000,1,69,574.01,7828,8402.01
10000,1,1,60000,1,70,573.288,7826,8399.29
10000,1,1,60000,1,71,581.053,7833,8414.05
10000,1,1,60000,1,72,579.471,7838,8417.47
10000,1,1,60000,1,73,574.811,7832,8406.81
10000,1,1,60000,1,74,573.128,7829,8402.13
10000,1,1,60000,1,75,574.12,7833,8407.12
10000,1,1,60000,1,76,575.864,7813,8388.86
10000,1,1,60000,1,77,577.647,7831,8408.65
10000,1,1,60000,1,78,481.023,7820,8301.02
10000,1,1,60000,1,79,570.623,7813,8383.62
10000,1,1,60000,1,80,573.388,7791,8364.39
10000,1,1,60000,1,81,574.962,7804,8378.96
10000,1,1,60000,1,82,579.13,7816,8395.13
10000,1,1,60000,1,83,476.174,7803,8279.17
10000,1,1,60000,1,84,573.188,7834,8407.19
10000,1,1,60000,1,85,573.319,7846,8419.32
10000,1,1,60000,1,86,616.621,7823,8439.62
10000,1,1,60000,1,87,628.333,7831,8459.33
10000,1,1,60000,1,88,460.244,7830,8290.24
10000,1,1,60000,1,89,612.954,7837,8449.95
10000,1,1,60000,1,90,627.792,7825,8452.79
10000,1,1,60000,1,91,619.736,7803,8422.74
10000,1,1,60000,1,92,433.824,7831,8264.82
10000,1,1,60000,1,93,574.951,7822,8396.95
10000,1,1,60000,1,94,574.841,7819,8393.84
10000,1,1,60000,1,95,585.761,7793,8378.76
10000,1,1,60000,1,96,574.35,7789,8363.35
10000,1,1,60000,1,97,571.033,7783,8354.03
10000,1,1,60000,1,98,574.621,7786,8360.62
10000,1,1,60000,1,99,574.341,7783,8357.34
