grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,30,60000,1,0,809.175,52829,53638.2
30,30,30,60000,1,1,1653.72,52870,54523.7
30,30,30,60000,1,2,1527.31,52825,54352.3
30,30,30,60000,1,3,1642.1,52831,54473.1
30,30,30,60000,1,4,1237.75,52808,54045.7
30,30,30,60000,1,5,1380.69,52824,54204.7
30,30,30,60000,1,6,1666.55,52892,54558.6
30,30,30,60000,1,7,1371.14,52841,54212.1
30,30,30,60000,1,8,1649.19,52887,54536.2
30,30,30,60000,1,9,1309.89,52850,54159.9
30,30,30,60000,1,10,1563.52,52872,54435.5
30,30,30,60000,1,11,1646.45,52919,54565.5
30,30,30,60000,1,12,1651.22,52888,54539.2
30,30,30,60000,1,13,1482.77,52840,54322.8
30,30,30,60000,1,14,1379.16,52817,54196.2
30,30,30,60000,1,15,1318.35,52851,54169.4
30,30,30,60000,1,16,1545.46,52872,54417.5
30,30,30,60000,1,17,1548.32,52871,54419.3
30,30,30,60000,1,18,1583.9,52873,54456.9
30,30,30,60000,1,19,1661,52892,54553
30,30,30,60000,1,20,1347.25,52868,54215.2
30,30,30,60000,1,21,1595.95,52865,54460.9
30,30,30,60000,1,22,1579.59,52872,54451.6
30,30,30,60000,1,23,1650.63,52873,54523.6
30,30,30,60000,1,24,1649.97,52894,54544
30,30,30,60000,1,25,1567.13,52876,54443.1
30,30,30,60000,1,26,1238.38,52797,54035.4
30,30,30,60000,1,27,996.842,52766,53762.8
30,30,30,60000,1,28,1533.85,52837,54370.9
30,30,30,60000,1,29,1648.9,52934,54582.9
30,30,30,60000,1,30,1320.67,52847,54167.7
30,30,30,60000,1,31,1547.65,52901,54448.6
30,30,30,60000,1,32,1545.49,52919,54464.5
30,30,30,60000,1,33,1555.61,52900,54455.6
30,30,30,60000,1,34,1546.77,52911,54457.8
30,30,30,60000,1,35,1646.45,52880,54526.5
30,30,30,60000,1,36,1564.42,52863,54427.4
30,30,30,60000,1,37,1557.56,52831,54388.6
30,30,30,60000,1,38,1241.85,52808,54049.8
30,30,30,60000,1,39,1350.65,52843,54193.7
30,30,30,60000,1,40,1225.16,52820,54045.2
30,30,30,60000,1,41,1534.09,52833,54367.1
30,30,30,60000,1,42,1623.51,52823,54446.5
30,30,30,60000,1,43,1600.43,52886,54486.4
30,30,30,60000,1,44,1413,52824,54237
30,30,30,60000,1,45,1306.88,52846,54152.9
30,30,30,60000,1,46,1562.64,52830,54392.6
30,30,30,60000,1,47,1254.89,52793,54047.9
30,30,30,60000,1,48,1577.36,52847,54424.4
30,30,30,60000,1,49,1526.75,52846,54372.7
