Timestamp,Power (W)
1745530365169,35
1745530369625,34
1745530374624,40
1745530379623,40
1745530384627,39
1745530389624,39
1745530394624,39
1745530399125,40
1745530404125,39
1745530409125,40
1745530414125,39
1745530419124,39
1745530424125,39
1745530428624,39
1745530433625,39
1745530438624,39
1745530443624,39
1745530448627,40
1745530453623,39
1745530458124,39
1745530463125,40
1745530468125,40
1745530473124,39
1745530478122,39
1745530483124,39
1745530487624,39
1745530492624,39
1745530497624,40
1745530502622,40
1745530507624,39
1745530512627,39
1745530517124,40
1745530522125,39
1745530527125,39
1745530532124,39
1745530537125,40
1745530542125,39
1745530546624,39
1745530551625,39
1745530556624,40
1745530561624,39
1745530566625,40
1745530571625,39
1745530576127,39
1745530581124,39
1745530586124,39
1745530591125,39
1745530596124,40
1745530601124,39
Command: /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/heat3d_fpga_experimental/opt_kernel/hls/build/hw/heat3d_host /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/heat3d_fpga_experimental/opt_kernel/hls/build/hw/heat3d.xclbin -sizex=100 -sizey=100 -sizez=100 -iters=60044 -piter=200
