grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
75,75,75,60044,1,0,12304.1,508208,520512
75,75,75,60044,1,1,18620.9,508151,526772
75,75,75,60044,1,2,18653.4,508258,526911
75,75,75,60044,1,3,18534.7,508155,526690
75,75,75,60044,1,4,16096.3,508143,524239
75,75,75,60044,1,5,18107.7,508249,526357
75,75,75,60044,1,6,18238.5,508179,526417
75,75,75,60044,1,7,16533.8,508180,524714
75,75,75,60044,1,8,18094,508144,526238
75,75,75,60044,1,9,17850.4,508148,525998
75,75,75,60044,1,10,11563.5,508137,519701
75,75,75,60044,1,11,18333.4,508153,526486
75,75,75,60044,1,12,16395.1,508140,524535
75,75,75,60044,1,13,17363.5,508142,525505
75,75,75,60044,1,14,11524.2,508140,519664
75,75,75,60044,1,15,12159.8,508148,520308
75,75,75,60044,1,16,17705.9,508192,525898
75,75,75,60044,1,17,18238.3,508143,526381
75,75,75,60044,1,18,16440,508157,524597
75,75,75,60044,1,19,11397.6,508145,519543
