grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
400,425,1,60018,1,0,2891.38,239510,242401
400,425,1,60018,1,1,2711.55,239600,242312
400,425,1,60018,1,2,2838.93,239587,242426
400,425,1,60018,1,3,2741.64,239595,242337
400,425,1,60018,1,4,2708.01,239598,242306
400,425,1,60018,1,5,2599.39,239605,242204
400,425,1,60018,1,6,2613.21,239592,242205
400,425,1,60018,1,7,2602.41,239608,242210
400,425,1,60018,1,8,2849.94,239601,242451
400,425,1,60018,1,9,2602.95,239599,242202
400,425,1,60018,1,10,2599.59,239611,242211
400,425,1,60018,1,11,2602.28,239594,242196
400,425,1,60018,1,12,2621.78,239613,242235
400,425,1,60018,1,13,2598.81,239631,242230
400,425,1,60018,1,14,2604.75,239616,242221
400,425,1,60018,1,15,2840.19,239607,242447
400,425,1,60018,1,16,2720.47,239608,242328
400,425,1,60018,1,17,2608.93,239596,242205
400,425,1,60018,1,18,2604.71,239602,242207
400,425,1,60018,1,19,3768.5,239621,243390
