grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
400,350,1,60012,1,0,2370.93,217577,219948
400,350,1,60012,1,1,2190.53,217594,219785
400,350,1,60012,1,2,2471.03,217595,220066
400,350,1,60012,1,3,2282.43,217591,219873
400,350,1,60012,1,4,2319.26,217686,220005
400,350,1,60012,1,5,2192.58,217581,219774
400,350,1,60012,1,6,2374.53,217589,219964
400,350,1,60012,1,7,2184.41,217604,219788
400,350,1,60012,1,8,2398.14,217590,219988
400,350,1,60012,1,9,2485.11,217582,220067
400,350,1,60012,1,10,2490.42,217556,220046
400,350,1,60012,1,11,2239.53,217585,219825
400,350,1,60012,1,12,2372.86,217581,219954
400,350,1,60012,1,13,2428.35,217586,220014
400,350,1,60012,1,14,2467.39,217582,220049
400,350,1,60012,1,15,2476.26,217611,220087
400,350,1,60012,1,16,2231.86,217585,219817
400,350,1,60012,1,17,2340.05,217595,219935
400,350,1,60012,1,18,2178.51,217586,219765
400,350,1,60012,1,19,2222.75,217602,219825
