Timestamp,Power (W)
1745535688185,33
1745535693141,33
1745535698140,39
1745535703142,38
1745535708139,39
1745535713140,38
1745535717640,38
1745535722641,39
1745535727640,38
1745535732640,38
1745535737640,38
1745535742641,39
1745535747140,38
1745535752140,38
1745535757139,38
1745535762140,38
1745535767142,38
1745535772141,39
1745535776640,38
1745535781639,38
1745535786640,39
1745535791640,38
1745535796640,39
1745535801639,38
1745535806140,38
1745535811141,38
1745535816140,38
Command: /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac2D9pt_fpga_experimental/hls/build/hw/jac2D9pt_host /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac2D9pt_fpga_experimental/hls/build/hw/jac2D9pt.xclbin -sizex=400 -sizey=400 -iters=60012 -piter=500
