grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,100,100,60048,1,0,16189.4,1.37599e+06,1.39218e+06
100,100,100,60048,1,1,16311,1.37598e+06,1.39229e+06
100,100,100,60048,1,2,16332.4,1.37596e+06,1.39229e+06
100,100,100,60048,1,3,16455,1.37607e+06,1.39252e+06
100,100,100,60048,1,4,16156.9,1.37597e+06,1.39213e+06
100,100,100,60048,1,5,17189.2,1.37598e+06,1.39316e+06
100,100,100,60048,1,6,16916.1,1.37597e+06,1.39288e+06
100,100,100,60048,1,7,16138.4,1.37599e+06,1.39213e+06
100,100,100,60048,1,8,16161.2,1.376e+06,1.39216e+06
100,100,100,60048,1,9,16384.2,1.37601e+06,1.39239e+06
100,100,100,60048,1,10,17155.8,1.37599e+06,1.39315e+06
100,100,100,60048,1,11,17079.6,1.37604e+06,1.39312e+06
100,100,100,60048,1,12,16176.1,1.37598e+06,1.39216e+06
100,100,100,60048,1,13,16145.4,1.37597e+06,1.39211e+06
100,100,100,60048,1,14,16139.9,1.376e+06,1.39214e+06
100,100,100,60048,1,15,16419.9,1.37598e+06,1.3924e+06
100,100,100,60048,1,16,16353.6,1.376e+06,1.39236e+06
100,100,100,60048,1,17,16141.6,1.37601e+06,1.39215e+06
100,100,100,60048,1,18,16126.1,1.376e+06,1.39213e+06
100,100,100,60048,1,19,16156.4,1.37598e+06,1.39213e+06
