Timestamp,Power (W)
1745539882206,35
1745539887152,35
1745539891652,40
1745539896652,41
1745539901651,40
1745539906652,41
1745539911652,40
1745539916652,40
1745539921154,40
1745539926153,40
1745539931153,40
1745539936151,40
1745539941152,40
1745539946152,40
1745539950653,41
1745539955652,40
1745539960652,40
1745539965652,40
1745539970652,40
1745539975652,40
1745539980152,40
1745539985154,39
1745539990154,40
1745539995151,40
1745540000152,40
1745540005153,41
1745540009652,39
1745540014652,40
1745540019652,40
1745540024652,39
1745540029652,40
1745540034652,40
1745540039152,40
1745540044153,40
1745540049155,40
1745540054154,40
1745540059152,40
1745540064152,39
1745540068652,40
1745540073651,40
1745540078649,40
1745540083652,40
1745540088652,40
1745540093652,40
1745540098152,40
1745540103153,40
1745540108152,40
1745540113153,40
1745540118154,40
1745540123152,40
1745540127652,40
1745540132653,40
1745540137652,40
1745540142652,40
1745540147652,40
1745540152652,40
1745540157152,40
1745540162152,40
1745540167152,40
1745540172152,40
1745540177154,40
1745540182154,40
1745540186653,40
1745540191652,40
1745540196652,40
1745540201651,40
1745540206651,40
1745540211653,40
1745540216153,40
1745540221152,40
1745540226152,40
1745540231152,40
1745540236154,40
1745540241153,40
1745540245655,40
1745540250652,40
1745540255652,40
1745540260652,40
1745540265654,40
1745540270652,40
1745540275152,40
1745540280153,40
1745540285152,40
1745540290152,40
1745540295152,40
1745540300152,40
1745540304654,40
1745540309655,40
1745540314652,40
1745540319651,40
1745540324653,40
1745540329654,40
1745540334154,40
1745540339154,40
1745540344154,40
1745540349154,39
1745540354155,40
1745540359154,40
1745540363654,40
1745540368714,40
Command: /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac3D7pt_fpga_experimental/hls/build/hw/jac3D7pt_host /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac3D7pt_fpga_experimental/hls/build/hw/jac3D7pt.xclbin -sizex=150 -sizey=150 -sizez=150 -iters=60016 -piter=100
