grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,200,200,60016,1,0,131758,1.07054e+07,1.08371e+07
200,200,200,60016,1,1,132283,1.07054e+07,1.08377e+07
200,200,200,60016,1,2,146428,1.07053e+07,1.08517e+07
200,200,200,60016,1,3,130123,1.07053e+07,1.08355e+07
200,200,200,60016,1,4,129686,1.07053e+07,1.0835e+07
200,200,200,60016,1,5,130761,1.07054e+07,1.08362e+07
200,200,200,60016,1,6,131529,1.07053e+07,1.08368e+07
200,200,200,60016,1,7,132254,1.07054e+07,1.08376e+07
200,200,200,60016,1,8,130234,1.07053e+07,1.08355e+07
200,200,200,60016,1,9,153193,1.07054e+07,1.08586e+07
