grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,575,1,60032,1,0,50.966,55228,55279
300,575,1,60032,1,1,80.151,55158,55238.2
300,575,1,60032,1,2,38.563,55126,55164.6
300,575,1,60032,1,3,72.699,55123,55195.7
300,575,1,60032,1,4,38.171,55142,55180.2
300,575,1,60032,1,5,80.603,55220,55300.6
300,575,1,60032,1,6,84.25,55210,55294.2
300,575,1,60032,1,7,96.263,55209,55305.3
300,575,1,60032,1,8,80.814,55169,55249.8
300,575,1,60032,1,9,80.522,55380,55460.5
300,575,1,60032,1,10,87.857,55211,55298.9
300,575,1,60032,1,11,81.615,55189,55270.6
300,575,1,60032,1,12,43.402,55496,55539.4
300,575,1,60032,1,13,96.713,55178,55274.7
300,575,1,60032,1,14,80.764,55223,55303.8
300,575,1,60032,1,15,70.533,55214,55284.5
300,575,1,60032,1,16,80.351,55226,55306.4
300,575,1,60032,1,17,88.538,55220,55308.5
300,575,1,60032,1,18,80.524,55224,55304.5
300,575,1,60032,1,19,83.859,55182,55265.9
