grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,150,1,60032,1,0,29.435,30468,30497.4
300,150,1,60032,1,1,29.957,30398,30428
300,150,1,60032,1,2,28.725,30391,30419.7
300,150,1,60032,1,3,28.184,30402,30430.2
300,150,1,60032,1,4,28.375,30441,30469.4
300,150,1,60032,1,5,29.907,30448,30477.9
300,150,1,60032,1,6,29.917,30452,30481.9
300,150,1,60032,1,7,29.917,30448,30477.9
300,150,1,60032,1,8,29.917,30447,30476.9
300,150,1,60032,1,9,30.237,30560,30590.2
300,150,1,60032,1,10,30.027,30442,30472
300,150,1,60032,1,11,30.056,30442,30472.1
300,150,1,60032,1,12,29.696,30442,30471.7
300,150,1,60032,1,13,30.057,30439,30469.1
300,150,1,60032,1,14,29.946,30443,30472.9
300,150,1,60032,1,15,30.077,30420,30450.1
300,150,1,60032,1,16,29.967,30417,30447
300,150,1,60032,1,17,30.177,30446,30476.2
300,150,1,60032,1,18,29.827,30444,30473.8
300,150,1,60032,1,19,29.646,30457,30486.6
300,150,1,60032,1,20,31.76,30419,30450.8
300,150,1,60032,1,21,29.526,30398,30427.5
300,150,1,60032,1,22,29.035,30416,30445
300,150,1,60032,1,23,40.687,30411,30451.7
300,150,1,60032,1,24,41.609,31094,31135.6
300,150,1,60032,1,25,30.017,30542,30572
300,150,1,60032,1,26,30.096,30841,30871.1
300,150,1,60032,1,27,29.877,30442,30471.9
300,150,1,60032,1,28,29.955,30430,30460
300,150,1,60032,1,29,30.157,30429,30459.2
300,150,1,60032,1,30,29.956,30444,30474
300,150,1,60032,1,31,30.198,30444,30474.2
300,150,1,60032,1,32,30.127,30415,30445.1
300,150,1,60032,1,33,29.897,30440,30469.9
300,150,1,60032,1,34,30.028,30431,30461
300,150,1,60032,1,35,30.047,30442,30472
300,150,1,60032,1,36,29.967,30444,30474
300,150,1,60032,1,37,30.137,30442,30472.1
300,150,1,60032,1,38,29.807,30620,30649.8
300,150,1,60032,1,39,30.198,30440,30470.2
300,150,1,60032,1,40,29.987,30442,30472
300,150,1,60032,1,41,30.207,30443,30473.2
300,150,1,60032,1,42,29.966,30432,30462
300,150,1,60032,1,43,30.077,30429,30459.1
300,150,1,60032,1,44,30.087,30628,30658.1
300,150,1,60032,1,45,30.117,30470,30500.1
300,150,1,60032,1,46,30.297,30441,30471.3
300,150,1,60032,1,47,29.907,30505,30534.9
300,150,1,60032,1,48,30.959,30538,30569
300,150,1,60032,1,49,29.927,30459,30488.9
300,150,1,60032,1,50,29.927,30447,30476.9
300,150,1,60032,1,51,29.996,30419,30449
300,150,1,60032,1,52,29.766,30442,30471.8
300,150,1,60032,1,53,29.786,30447,30476.8
300,150,1,60032,1,54,30.017,30443,30473
300,150,1,60032,1,55,28.214,30415,30443.2
300,150,1,60032,1,56,30.197,30608,30638.2
300,150,1,60032,1,57,30.157,30442,30472.2
300,150,1,60032,1,58,30.078,30442,30472.1
300,150,1,60032,1,59,30.186,30435,30465.2
300,150,1,60032,1,60,30.007,30447,30477
300,150,1,60032,1,61,30.056,30439,30469.1
300,150,1,60032,1,62,30.077,30548,30578.1
300,150,1,60032,1,63,29.747,30427,30456.7
300,150,1,60032,1,64,30.057,30444,30474.1
300,150,1,60032,1,65,29.686,30448,30477.7
300,150,1,60032,1,66,29.926,30429,30458.9
300,150,1,60032,1,67,29.866,30431,30460.9
300,150,1,60032,1,68,30.167,30630,30660.2
300,150,1,60032,1,69,29.745,30806,30835.7
300,150,1,60032,1,70,30.016,30442,30472
300,150,1,60032,1,71,29.857,30445,30474.9
300,150,1,60032,1,72,29.827,30499,30528.8
300,150,1,60032,1,73,29.887,30445,30474.9
300,150,1,60032,1,74,30.658,30446,30476.7
300,150,1,60032,1,75,30.127,30382,30412.1
300,150,1,60032,1,76,30.078,30374,30404.1
300,150,1,60032,1,77,29.897,30381,30410.9
300,150,1,60032,1,78,29.876,30400,30429.9
300,150,1,60032,1,79,29.856,30395,30424.9
300,150,1,60032,1,80,29.897,30399,30428.9
300,150,1,60032,1,81,30.047,30397,30427
300,150,1,60032,1,82,27.993,30375,30403
300,150,1,60032,1,83,29.837,30395,30424.8
300,150,1,60032,1,84,29.897,30403,30432.9
300,150,1,60032,1,85,29.977,30415,30445
300,150,1,60032,1,86,29.826,30389,30418.8
300,150,1,60032,1,87,30.057,30441,30471.1
300,150,1,60032,1,88,31.479,30437,30468.5
300,150,1,60032,1,89,32.872,30424,30456.9
300,150,1,60032,1,90,29.957,30435,30465
300,150,1,60032,1,91,30.117,30444,30474.1
300,150,1,60032,1,92,36.77,30441,30477.8
300,150,1,60032,1,93,32.43,30426,30458.4
300,150,1,60032,1,94,31.7,30439,30470.7
300,150,1,60032,1,95,30.507,30439,30469.5
300,150,1,60032,1,96,29.917,30445,30474.9
300,150,1,60032,1,97,32.652,30434,30466.7
300,150,1,60032,1,98,32.623,30436,30468.6
300,150,1,60032,1,99,30.689,30422,30452.7
