grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
400,300,1,60102,1,0,7199.14,47633,54832.1
400,300,1,60102,1,1,7165.02,47646,54811
400,300,1,60102,1,2,7162.69,47656,54818.7
400,300,1,60102,1,3,7166.03,47681,54847
400,300,1,60102,1,4,7167.26,47725,54892.3
400,300,1,60102,1,5,7182.82,47732,54914.8
400,300,1,60102,1,6,7195.71,47727,54922.7
400,300,1,60102,1,7,7204.8,47730,54934.8
400,300,1,60102,1,8,7180.13,47728,54908.1
400,300,1,60102,1,9,7161.32,47715,54876.3
400,300,1,60102,1,10,7165.02,47723,54888
400,300,1,60102,1,11,7273.27,47728,55001.3
400,300,1,60102,1,12,7169.39,47713,54882.4
400,300,1,60102,1,13,7171.29,47728,54899.3
400,300,1,60102,1,14,7167.27,47748,54915.3
400,300,1,60102,1,15,7154.28,47729,54883.3
400,300,1,60102,1,16,7173.63,47725,54898.6
400,300,1,60102,1,17,7158.6,47734,54892.6
400,300,1,60102,1,18,7167.17,47707,54874.2
400,300,1,60102,1,19,6937.26,47634,54571.3
