grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,100,1,60060,1,0,1159.8,17078,18237.8
200,100,1,60060,1,1,1033.69,17052,18085.7
200,100,1,60060,1,2,1151.19,17089,18240.2
200,100,1,60060,1,3,1085.3,17070,18155.3
200,100,1,60060,1,4,1015.89,17064,18079.9
200,100,1,60060,1,5,1071.03,17042,18113
200,100,1,60060,1,6,1152.5,17118,18270.5
200,100,1,60060,1,7,1051.36,17123,18174.4
200,100,1,60060,1,8,1015.19,17141,18156.2
200,100,1,60060,1,9,1021.34,17116,18137.3
200,100,1,60060,1,10,1019.79,17121,18140.8
200,100,1,60060,1,11,1012.62,17133,18145.6
200,100,1,60060,1,12,1010.51,17148,18158.5
200,100,1,60060,1,13,1017.34,17140,18157.3
200,100,1,60060,1,14,1013.38,17134,18147.4
200,100,1,60060,1,15,1019.1,17118,18137.1
200,100,1,60060,1,16,1019.37,17123,18142.4
200,100,1,60060,1,17,1011.69,17124,18135.7
200,100,1,60060,1,18,1014.26,17120,18134.3
200,100,1,60060,1,19,1017.91,17109,18126.9
200,100,1,60060,1,20,1022.93,17125,18147.9
200,100,1,60060,1,21,1017.78,17424,18441.8
200,100,1,60060,1,22,1010.77,17126,18136.8
200,100,1,60060,1,23,1014.21,17120,18134.2
200,100,1,60060,1,24,1019.39,17148,18167.4
200,100,1,60060,1,25,1016.74,17319,18335.7
200,100,1,60060,1,26,1012.08,17134,18146.1
200,100,1,60060,1,27,1018.28,17139,18157.3
200,100,1,60060,1,28,1017.85,17115,18132.9
200,100,1,60060,1,29,1139.66,17322,18461.7
200,100,1,60060,1,30,1109.87,17150,18259.9
200,100,1,60060,1,31,1011.36,17166,18177.4
200,100,1,60060,1,32,1020.16,17116,18136.2
200,100,1,60060,1,33,1012.75,17133,18145.8
200,100,1,60060,1,34,1015.36,17126,18141.4
200,100,1,60060,1,35,1010.4,17121,18131.4
200,100,1,60060,1,36,1051.97,17134,18186
200,100,1,60060,1,37,1150.88,17123,18273.9
200,100,1,60060,1,38,1063.96,17106,18170
200,100,1,60060,1,39,1010.22,17140,18150.2
200,100,1,60060,1,40,1016.67,17154,18170.7
200,100,1,60060,1,41,1017.84,17118,18135.8
200,100,1,60060,1,42,1018.29,17133,18151.3
200,100,1,60060,1,43,1012.7,17123,18135.7
200,100,1,60060,1,44,1023.6,17137,18160.6
200,100,1,60060,1,45,1012.26,17123,18135.3
200,100,1,60060,1,46,1011.33,17123,18134.3
200,100,1,60060,1,47,1012.47,17125,18137.5
200,100,1,60060,1,48,1017.65,17120,18137.7
200,100,1,60060,1,49,1013.08,17078,18091.1
200,100,1,60060,1,50,1014.8,17063,18077.8
200,100,1,60060,1,51,1024.44,17062,18086.4
200,100,1,60060,1,52,1011.56,17036,18047.6
200,100,1,60060,1,53,1013.47,17031,18044.5
200,100,1,60060,1,54,1012.52,17039,18051.5
200,100,1,60060,1,55,1016.94,17095,18111.9
200,100,1,60060,1,56,1013.46,17139,18152.5
200,100,1,60060,1,57,1011.13,17142,18153.1
200,100,1,60060,1,58,1011.17,17120,18131.2
200,100,1,60060,1,59,1021.03,17122,18143
200,100,1,60060,1,60,1012.35,17136,18148.4
200,100,1,60060,1,61,1011.6,17249,18260.6
200,100,1,60060,1,62,1015.47,17148,18163.5
200,100,1,60060,1,63,1023.06,17177,18200.1
200,100,1,60060,1,64,1011.47,17106,18117.5
200,100,1,60060,1,65,1014.82,17130,18144.8
200,100,1,60060,1,66,1013.88,17141,18154.9
200,100,1,60060,1,67,1020.18,17144,18164.2
200,100,1,60060,1,68,1015.88,17152,18167.9
200,100,1,60060,1,69,1011.09,17157,18168.1
200,100,1,60060,1,70,1016.35,17147,18163.3
200,100,1,60060,1,71,1017.47,17232,18249.5
200,100,1,60060,1,72,1013.72,17155,18168.7
200,100,1,60060,1,73,1012.42,17145,18157.4
200,100,1,60060,1,74,1018.96,17153,18172
200,100,1,60060,1,75,1024.17,17453,18477.2
200,100,1,60060,1,76,1018.19,17123,18141.2
200,100,1,60060,1,77,1010.85,17131,18141.8
200,100,1,60060,1,78,1011.37,17149,18160.4
200,100,1,60060,1,79,1016.93,17128,18144.9
200,100,1,60060,1,80,1016.84,17150,18166.8
200,100,1,60060,1,81,1013.42,17154,18167.4
200,100,1,60060,1,82,1011.38,17133,18144.4
200,100,1,60060,1,83,1019.31,17146,18165.3
200,100,1,60060,1,84,1012.9,17146,18158.9
200,100,1,60060,1,85,1014.87,17132,18146.9
200,100,1,60060,1,86,1012.31,17135,18147.3
200,100,1,60060,1,87,1025.77,17116,18141.8
200,100,1,60060,1,88,1015.69,17133,18148.7
200,100,1,60060,1,89,1019.63,17300,18319.6
200,100,1,60060,1,90,1011.48,17121,18132.5
200,100,1,60060,1,91,1016.84,17123,18139.8
200,100,1,60060,1,92,1012.62,17194,18206.6
200,100,1,60060,1,93,1018.09,17146,18164.1
200,100,1,60060,1,94,1011.92,17127,18138.9
200,100,1,60060,1,95,1024.35,17137,18161.3
200,100,1,60060,1,96,1013.44,17227,18240.4
200,100,1,60060,1,97,1012.3,17246,18258.3
200,100,1,60060,1,98,1019.89,17134,18153.9
200,100,1,60060,1,99,1017.37,17116,18133.4
