grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,1,1,60060,1,0,7.014,8826,8833.01
200,1,1,60060,1,1,14.027,8884,8898.03
200,1,1,60060,1,2,13.635,8889,8902.64
200,1,1,60060,1,3,13.596,9315,9328.6
200,1,1,60060,1,4,13.275,8938,8951.27
200,1,1,60060,1,5,19.828,8926,8945.83
200,1,1,60060,1,6,15.319,8923,8938.32
200,1,1,60060,1,7,15.95,8909,8924.95
200,1,1,60060,1,8,15.58,9265,9280.58
200,1,1,60060,1,9,16.902,8889,8905.9
200,1,1,60060,1,10,14.938,8910,8924.94
200,1,1,60060,1,11,16.401,8914,8930.4
200,1,1,60060,1,12,16.741,8913,8929.74
200,1,1,60060,1,13,15.99,8908,8923.99
200,1,1,60060,1,14,14.237,8880,8894.24
200,1,1,60060,1,15,14.086,8862,8876.09
200,1,1,60060,1,16,14.037,8863,8877.04
200,1,1,60060,1,17,13.255,8859,8872.25
200,1,1,60060,1,18,12.785,8854,8866.78
200,1,1,60060,1,19,13.045,8866,8879.05
200,1,1,60060,1,20,13.045,8863,8876.05
200,1,1,60060,1,21,13.375,8854,8867.38
200,1,1,60060,1,22,13.175,8860,8873.17
200,1,1,60060,1,23,13.145,8850,8863.15
200,1,1,60060,1,24,13.445,8850,8863.44
200,1,1,60060,1,25,13.165,8865,8878.17
200,1,1,60060,1,26,13.356,8856,8869.36
200,1,1,60060,1,27,13.585,8857,8870.58
200,1,1,60060,1,28,13.756,8862,8875.76
200,1,1,60060,1,29,13.576,8860,8873.58
200,1,1,60060,1,30,13.896,8858,8871.9
200,1,1,60060,1,31,13.635,8859,8872.64
200,1,1,60060,1,32,13.776,8856,8869.78
200,1,1,60060,1,33,13.376,8864,8877.38
200,1,1,60060,1,34,13.455,8857,8870.45
200,1,1,60060,1,35,13.265,8849,8862.26
200,1,1,60060,1,36,13.466,8865,8878.47
200,1,1,60060,1,37,13.576,8854,8867.58
200,1,1,60060,1,38,13.415,8858,8871.42
200,1,1,60060,1,39,13.416,8853,8866.42
200,1,1,60060,1,40,14.167,8859,8873.17
200,1,1,60060,1,41,13.245,8852,8865.25
200,1,1,60060,1,42,13.375,8853,8866.38
200,1,1,60060,1,43,13.446,8849,8862.45
200,1,1,60060,1,44,13.225,8855,8868.23
200,1,1,60060,1,45,13.836,8864,8877.84
200,1,1,60060,1,46,13.245,8858,8871.25
200,1,1,60060,1,47,13.465,8857,8870.47
200,1,1,60060,1,48,13.375,8857,8870.38
200,1,1,60060,1,49,13.285,8854,8867.28
200,1,1,60060,1,50,13.105,8858,8871.1
200,1,1,60060,1,51,13.375,8855,8868.38
200,1,1,60060,1,52,13.415,8861,8874.42
200,1,1,60060,1,53,13.295,8858,8871.3
200,1,1,60060,1,54,13.536,8853,8866.54
200,1,1,60060,1,55,13.586,8856,8869.59
200,1,1,60060,1,56,13.546,8856,8869.55
200,1,1,60060,1,57,14.016,8870,8884.02
200,1,1,60060,1,58,13.515,8851,8864.51
200,1,1,60060,1,59,13.496,8852,8865.5
200,1,1,60060,1,60,13.576,8864,8877.58
200,1,1,60060,1,61,13.265,8866,8879.26
200,1,1,60060,1,62,13.385,8873,8886.39
200,1,1,60060,1,63,13.385,8858,8871.39
200,1,1,60060,1,64,13.736,8866,8879.74
200,1,1,60060,1,65,13.576,8850,8863.58
200,1,1,60060,1,66,13.486,8915,8928.49
200,1,1,60060,1,67,14.107,8875,8889.11
200,1,1,60060,1,68,14.207,8878,8892.21
200,1,1,60060,1,69,14.367,8867,8881.37
200,1,1,60060,1,70,14.367,8881,8895.37
200,1,1,60060,1,71,15.44,8859,8874.44
200,1,1,60060,1,72,13.596,8851,8864.6
200,1,1,60060,1,73,13.366,8850,8863.37
200,1,1,60060,1,74,13.154,8877,8890.15
200,1,1,60060,1,75,13.225,8856,8869.23
200,1,1,60060,1,76,13.505,8853,8866.5
200,1,1,60060,1,77,13.365,8879,8892.36
200,1,1,60060,1,78,14.357,8870,8884.36
200,1,1,60060,1,79,14.237,8872,8886.24
200,1,1,60060,1,80,14.287,8871,8885.29
200,1,1,60060,1,81,14.197,8863,8877.2
200,1,1,60060,1,82,14.417,8890,8904.42
200,1,1,60060,1,83,14.317,8869,8883.32
200,1,1,60060,1,84,14.708,8872,8886.71
200,1,1,60060,1,85,13.726,8866,8879.73
200,1,1,60060,1,86,13.756,8865,8878.76
200,1,1,60060,1,87,13.355,8855,8868.35
200,1,1,60060,1,88,13.536,8860,8873.54
200,1,1,60060,1,89,13.255,8856,8869.25
200,1,1,60060,1,90,13.436,8860,8873.44
200,1,1,60060,1,91,13.545,8856,8869.55
200,1,1,60060,1,92,13.355,8863,8876.35
200,1,1,60060,1,93,13.696,8879,8892.7
200,1,1,60060,1,94,13.566,8858,8871.57
200,1,1,60060,1,95,13.636,8855,8868.64
200,1,1,60060,1,96,13.456,8866,8879.46
200,1,1,60060,1,97,13.356,8864,8877.36
200,1,1,60060,1,98,13.836,8856,8869.84
200,1,1,60060,1,99,13.876,8860,8873.88
args: -sizex=200 -iters=60060 -batch=100 -bsize=1
