grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,5462.13
150,1,1,1,5466.41
200,1,1,1,5465.14
500,1,1,1,5586.98
1000,1,1,1,6282.16
2000,1,1,1,6781.34
5000,1,1,1,8228.37
10000,1,1,1,10247.0
20000,1,1,1,14409.68
30000,1,1,1,20704.45
100,1,1,10,651.21
150,1,1,10,662.0500000000001
200,1,1,10,695.51
500,1,1,10,775.3300000000002
1000,1,1,10,1017.1300000000001
2000,1,1,10,1461.9299999999998
5000,1,1,10,3185.8999999999996
10000,1,1,10,5966.7300000000005
20000,1,1,10,11537.9
30000,1,1,10,17140.199999999997
100,1,1,20,349.70000000000005
150,1,1,20,365.93
200,1,1,20,387.72999999999996
500,1,1,20,492.05
1000,1,1,20,734.93
2000,1,1,20,1303.69
5000,1,1,20,2978.75
10000,1,1,20,5772.9400000000005
20000,1,1,20,11361.633333333333
30000,1,1,20,16952.5
100,1,1,50,169.92000000000002
150,1,1,50,185.8
200,1,1,50,206.94
500,1,1,50,348.12
1000,1,1,50,645.79
2000,1,1,50,1199.33
5000,1,1,50,2872.84
10000,1,1,50,5670.7
20000,1,1,50,11255.9
30000,1,1,50,16839.6
100,1,1,100,105.81
150,1,1,100,126.67
200,1,1,100,152.72
500,1,1,100,317.22
1000,1,1,100,599.6
2000,1,1,100,1163.77
5000,1,1,100,2835.38
10000,1,1,100,5631.49
20000,1,1,100,11217.4
30000,1,1,100,16803.0
100,1,1,200,80.765
150,1,1,200,107.41
200,1,1,200,135.335
500,1,1,200,302.075
1000,1,1,200,582.01
2000,1,1,200,1144.46
5000,1,1,200,2815.77
10000,1,1,200,5612.9
20000,1,1,200,11200.4
30000,1,1,200,16782.1
