grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
20000,1,1,60060,1,0,497.996,10087,10585
20000,1,1,60060,1,1,590.191,10061,10651.2
20000,1,1,60060,1,2,603.225,10044,10647.2
20000,1,1,60060,1,3,987.995,10476,11464
20000,1,1,60060,1,4,1186.78,10154,11340.8
20000,1,1,60060,1,5,1020.29,10520,11540.3
20000,1,1,60060,1,6,1112.79,10158,11270.8
20000,1,1,60060,1,7,976.243,10120,11096.2
20000,1,1,60060,1,8,1008.81,10174,11182.8
20000,1,1,60060,1,9,966.304,10132,11098.3
20000,1,1,60060,1,10,1085.83,10457,11542.8
20000,1,1,60060,1,11,1017.1,10107,11124.1
20000,1,1,60060,1,12,702.163,10050,10752.2
20000,1,1,60060,1,13,700.901,10058,10758.9
20000,1,1,60060,1,14,701.401,10045,10746.4
20000,1,1,60060,1,15,702.153,10041,10743.2
20000,1,1,60060,1,16,709.326,10042,10751.3
20000,1,1,60060,1,17,617.843,10051,10668.8
20000,1,1,60060,1,18,628.192,10047,10675.2
20000,1,1,60060,1,19,669.591,10101,10770.6
20000,1,1,60060,1,20,1160.22,10203,11363.2
20000,1,1,60060,1,21,1095.36,10115,11210.4
20000,1,1,60060,1,22,993.476,10173,11166.5
20000,1,1,60060,1,23,1083.22,10132,11215.2
20000,1,1,60060,1,24,971.264,10177,11148.3
20000,1,1,60060,1,25,1171.6,10141,11312.6
20000,1,1,60060,1,26,1175.35,10072,11247.4
20000,1,1,60060,1,27,975.802,10090,11065.8
20000,1,1,60060,1,28,1078.23,10170,11248.2
20000,1,1,60060,1,29,1066.66,10151,11217.7
20000,1,1,60060,1,30,947.538,10132,11079.5
20000,1,1,60060,1,31,1022.41,10164,11186.4
20000,1,1,60060,1,32,1092.5,10149,11241.5
20000,1,1,60060,1,33,884.569,10165,11049.6
20000,1,1,60060,1,34,1156.01,10246,11402
20000,1,1,60060,1,35,1160.41,10165,11325.4
20000,1,1,60060,1,36,1044.59,10132,11176.6
20000,1,1,60060,1,37,976.493,10141,11117.5
20000,1,1,60060,1,38,1002.16,10171,11173.2
20000,1,1,60060,1,39,993.425,10085,11078.4
20000,1,1,60060,1,40,1112.53,10134,11246.5
20000,1,1,60060,1,41,1169.99,10127,11297
20000,1,1,60060,1,42,959.181,10101,11060.2
20000,1,1,60060,1,43,976.193,10153,11129.2
20000,1,1,60060,1,44,1182.66,10150,11332.7
20000,1,1,60060,1,45,1087.1,10105,11192.1
20000,1,1,60060,1,46,882.255,10076,10958.3
20000,1,1,60060,1,47,1077.67,10121,11198.7
20000,1,1,60060,1,48,974.31,10075,11049.3
20000,1,1,60060,1,49,928.943,10129,11057.9
args: -sizex=20000 -iters=60060 -batch=50 -bsize=1
