grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
500,1,1,60060,1,0,15.369,5097,5112.37
500,1,1,60060,1,1,13.005,5030,5043.01
500,1,1,60060,1,2,12.995,5086,5098.99
500,1,1,60060,1,3,30.738,5133,5163.74
500,1,1,60060,1,4,30.328,5133,5163.33
500,1,1,60060,1,5,30.387,5107,5137.39
500,1,1,60060,1,6,22.693,5076,5098.69
500,1,1,60060,1,7,18.475,5066,5084.48
500,1,1,60060,1,8,16.091,5038,5054.09
500,1,1,60060,1,9,16.191,5066,5082.19
500,1,1,60060,1,10,18.245,5036,5054.24
500,1,1,60060,1,11,18.215,5046,5064.22
500,1,1,60060,1,12,18.265,5050,5068.27
500,1,1,60060,1,13,18.325,5047,5065.32
500,1,1,60060,1,14,16.031,5047,5063.03
500,1,1,60060,1,15,18.194,5045,5063.19
500,1,1,60060,1,16,16.261,5051,5067.26
500,1,1,60060,1,17,16.03,5035,5051.03
500,1,1,60060,1,18,18.566,5065,5083.57
500,1,1,60060,1,19,17.744,5056,5073.74
500,1,1,60060,1,20,17.824,5047,5064.82
500,1,1,60060,1,21,19.096,5052,5071.1
500,1,1,60060,1,22,18.114,5047,5065.11
500,1,1,60060,1,23,16.973,5054,5070.97
500,1,1,60060,1,24,25.528,5058,5083.53
500,1,1,60060,1,25,21.12,5044,5065.12
500,1,1,60060,1,26,18.305,5054,5072.31
500,1,1,60060,1,27,21.321,5047,5068.32
500,1,1,60060,1,28,18.926,5044,5062.93
500,1,1,60060,1,29,20.359,5055,5075.36
500,1,1,60060,1,30,21.25,5058,5079.25
500,1,1,60060,1,31,22.092,5051,5073.09
500,1,1,60060,1,32,19.377,5057,5076.38
500,1,1,60060,1,33,19.267,5044,5063.27
500,1,1,60060,1,34,18.495,5046,5064.49
500,1,1,60060,1,35,21.571,5050,5071.57
500,1,1,60060,1,36,20.358,5058,5078.36
500,1,1,60060,1,37,20.078,5044,5064.08
500,1,1,60060,1,38,17.453,5048,5065.45
500,1,1,60060,1,39,17.773,5036,5053.77
500,1,1,60060,1,40,19.416,5053,5072.42
500,1,1,60060,1,41,19.477,5035,5054.48
500,1,1,60060,1,42,21.16,5046,5067.16
500,1,1,60060,1,43,19.076,5041,5060.08
500,1,1,60060,1,44,21.631,5057,5078.63
500,1,1,60060,1,45,19.006,5036,5055.01
500,1,1,60060,1,46,20.95,5057,5077.95
500,1,1,60060,1,47,22.753,5053,5075.75
500,1,1,60060,1,48,20.749,5045,5065.75
500,1,1,60060,1,49,21.621,5051,5072.62
500,1,1,60060,1,50,19.096,5060,5079.1
500,1,1,60060,1,51,19.717,5040,5059.72
500,1,1,60060,1,52,22.332,5058,5080.33
500,1,1,60060,1,53,22.402,5055,5077.4
500,1,1,60060,1,54,20.389,5043,5063.39
500,1,1,60060,1,55,21.421,5056,5077.42
500,1,1,60060,1,56,23.966,5052,5075.97
500,1,1,60060,1,57,19.688,5045,5064.69
500,1,1,60060,1,58,20.729,5065,5085.73
500,1,1,60060,1,59,19.046,5049,5068.05
500,1,1,60060,1,60,20.749,5043,5063.75
500,1,1,60060,1,61,21.572,5071,5092.57
500,1,1,60060,1,62,20.72,5043,5063.72
500,1,1,60060,1,63,17.323,5043,5060.32
500,1,1,60060,1,64,23.385,5058,5081.39
500,1,1,60060,1,65,17.954,5045,5062.95
500,1,1,60060,1,66,21.641,5056,5077.64
500,1,1,60060,1,67,17.804,5049,5066.8
500,1,1,60060,1,68,18.926,5047,5065.93
500,1,1,60060,1,69,22.212,5048,5070.21
500,1,1,60060,1,70,22.382,5049,5071.38
500,1,1,60060,1,71,22.302,5057,5079.3
500,1,1,60060,1,72,22.984,5063,5085.98
500,1,1,60060,1,73,20.729,5043,5063.73
500,1,1,60060,1,74,18.626,5039,5057.63
500,1,1,60060,1,75,21.791,5043,5064.79
500,1,1,60060,1,76,21.991,5035,5056.99
500,1,1,60060,1,77,22.041,5045,5067.04
500,1,1,60060,1,78,22.062,5060,5082.06
500,1,1,60060,1,79,19.777,5067,5086.78
500,1,1,60060,1,80,21.18,5053,5074.18
500,1,1,60060,1,81,18.234,5057,5075.23
500,1,1,60060,1,82,16.041,5036,5052.04
500,1,1,60060,1,83,18.265,5046,5064.27
500,1,1,60060,1,84,16.02,5050,5066.02
500,1,1,60060,1,85,18.295,5053,5071.3
500,1,1,60060,1,86,18.455,5065,5083.45
500,1,1,60060,1,87,19.508,5035,5054.51
500,1,1,60060,1,88,16.28,5056,5072.28
500,1,1,60060,1,89,18.466,5040,5058.47
500,1,1,60060,1,90,31.81,5183,5214.81
500,1,1,60060,1,91,31.931,5180,5211.93
500,1,1,60060,1,92,30.739,5180,5210.74
500,1,1,60060,1,93,31.289,5126,5157.29
500,1,1,60060,1,94,30.779,5138,5168.78
500,1,1,60060,1,95,31.861,5128,5159.86
500,1,1,60060,1,96,31.721,5138,5169.72
500,1,1,60060,1,97,31.28,5123,5154.28
500,1,1,60060,1,98,31.74,5135,5166.74
500,1,1,60060,1,99,32.311,5137,5169.31
args: -sizex=500 -iters=60060 -batch=100 -bsize=1
