grid_x,grid_y,grid_z,batch_size,average_main_time
100,1,1,1,5119.93
150,1,1,1,5116.73
200,1,1,1,5060.62
500,1,1,1,5062.64
1000,1,1,1,5245.92
2000,1,1,1,5193.8
5000,1,1,1,5100.79
10000,1,1,1,6062.18
20000,1,1,1,10141.4
30000,1,1,1,14294.55
100,1,1,10,509.0000000000001
150,1,1,10,533.35
200,1,1,10,517.8
500,1,1,10,510.45
1000,1,1,10,605.31
2000,1,1,10,1024.05
100,1,1,20,256.1
150,1,1,20,257.52000000000004
200,1,1,20,255.26999999999998
500,1,1,20,307.21
1000,1,1,20,510.13
100,1,1,50,102.05
150,1,1,50,105.38
200,1,1,50,125.77
500,1,1,50,257.75
100,1,1,100,68.47
150,1,1,100,87.9
200,1,1,100,107.97
100,1,1,200,58.87
150,1,1,200,78.66
