grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,1,1,60000,1,0,3.807,2774,2777.81
100,1,1,60000,1,1,9.297,2689,2698.3
100,1,1,60000,1,2,7.274,2690,2697.27
100,1,1,60000,1,3,6.842,2637,2643.84
100,1,1,60000,1,4,4.929,2719,2723.93
100,1,1,60000,1,5,5.18,2609,2614.18
100,1,1,60000,1,6,5.16,2604,2609.16
100,1,1,60000,1,7,6.522,2630,2636.52
100,1,1,60000,1,8,6.943,2640,2646.94
100,1,1,60000,1,9,6.583,2634,2640.58
100,1,1,60000,1,10,6.693,2622,2628.69
100,1,1,60000,1,11,6.923,2640,2646.92
100,1,1,60000,1,12,6.602,2630,2636.6
100,1,1,60000,1,13,6.672,2634,2640.67
100,1,1,60000,1,14,6.723,2639,2645.72
100,1,1,60000,1,15,6.823,2604,2610.82
100,1,1,60000,1,16,6.773,2604,2610.77
100,1,1,60000,1,17,6.933,2615,2621.93
100,1,1,60000,1,18,6.683,2604,2610.68
100,1,1,60000,1,19,6.513,2604,2610.51
100,1,1,60000,1,20,6.533,2625,2631.53
100,1,1,60000,1,21,6.021,2623,2629.02
100,1,1,60000,1,22,5.02,2587,2592.02
100,1,1,60000,1,23,5.26,2603,2608.26
100,1,1,60000,1,24,5.019,2601,2606.02
100,1,1,60000,1,25,4.96,2579,2583.96
100,1,1,60000,1,26,5.421,2577,2582.42
100,1,1,60000,1,27,5.1,2588,2593.1
100,1,1,60000,1,28,4.749,2597,2601.75
100,1,1,60000,1,29,5.069,2590,2595.07
100,1,1,60000,1,30,5.22,2564,2569.22
100,1,1,60000,1,31,4.649,2565,2569.65
100,1,1,60000,1,32,4.869,2569,2573.87
100,1,1,60000,1,33,4.769,2561,2565.77
100,1,1,60000,1,34,4.639,2562,2566.64
100,1,1,60000,1,35,4.458,2568,2572.46
100,1,1,60000,1,36,11.682,2562,2573.68
100,1,1,60000,1,37,4.709,2558,2562.71
100,1,1,60000,1,38,4.879,2571,2575.88
100,1,1,60000,1,39,4.568,2560,2564.57
100,1,1,60000,1,40,4.639,2561,2565.64
100,1,1,60000,1,41,4.709,2566,2570.71
100,1,1,60000,1,42,4.759,2562,2566.76
100,1,1,60000,1,43,4.9,2562,2566.9
100,1,1,60000,1,44,4.899,2584,2588.9
100,1,1,60000,1,45,4.729,2561,2565.73
100,1,1,60000,1,46,5.07,2565,2570.07
100,1,1,60000,1,47,4.678,2570,2574.68
100,1,1,60000,1,48,4.989,2563,2567.99
100,1,1,60000,1,49,4.819,2560,2564.82
100,1,1,60000,1,50,4.959,2567,2571.96
100,1,1,60000,1,51,4.869,2564,2568.87
100,1,1,60000,1,52,4.548,2559,2563.55
100,1,1,60000,1,53,4.729,2571,2575.73
100,1,1,60000,1,54,4.829,2558,2562.83
100,1,1,60000,1,55,4.489,2559,2563.49
100,1,1,60000,1,56,4.599,2568,2572.6
100,1,1,60000,1,57,4.479,2560,2564.48
100,1,1,60000,1,58,4.658,2563,2567.66
100,1,1,60000,1,59,4.819,2568,2572.82
100,1,1,60000,1,60,4.248,2559,2563.25
100,1,1,60000,1,61,4.699,2564,2568.7
100,1,1,60000,1,62,4.689,2567,2571.69
100,1,1,60000,1,63,4.418,2560,2564.42
100,1,1,60000,1,64,4.589,2562,2566.59
100,1,1,60000,1,65,4.438,2569,2573.44
100,1,1,60000,1,66,4.448,2560,2564.45
100,1,1,60000,1,67,4.76,2564,2568.76
100,1,1,60000,1,68,4.769,2573,2577.77
100,1,1,60000,1,69,4.68,2559,2563.68
100,1,1,60000,1,70,4.669,2558,2562.67
100,1,1,60000,1,71,4.86,2569,2573.86
100,1,1,60000,1,72,4.93,2557,2561.93
100,1,1,60000,1,73,4.669,2559,2563.67
100,1,1,60000,1,74,4.688,2566,2570.69
100,1,1,60000,1,75,4.498,2570,2574.5
100,1,1,60000,1,76,4.689,2561,2565.69
100,1,1,60000,1,77,4.649,2570,2574.65
100,1,1,60000,1,78,4.529,2563,2567.53
100,1,1,60000,1,79,4.558,2563,2567.56
100,1,1,60000,1,80,4.679,2569,2573.68
100,1,1,60000,1,81,4.559,2567,2571.56
100,1,1,60000,1,82,4.549,2560,2564.55
100,1,1,60000,1,83,4.609,2577,2581.61
100,1,1,60000,1,84,4.759,2559,2563.76
100,1,1,60000,1,85,4.649,2559,2563.65
100,1,1,60000,1,86,4.669,2569,2573.67
100,1,1,60000,1,87,4.669,2560,2564.67
100,1,1,60000,1,88,5.11,2561,2566.11
100,1,1,60000,1,89,4.829,2569,2573.83
100,1,1,60000,1,90,4.819,2565,2569.82
100,1,1,60000,1,91,4.769,2568,2572.77
100,1,1,60000,1,92,4.97,2573,2577.97
100,1,1,60000,1,93,5.109,2573,2578.11
100,1,1,60000,1,94,4.779,2564,2568.78
100,1,1,60000,1,95,4.698,2573,2577.7
100,1,1,60000,1,96,5.05,2564,2569.05
100,1,1,60000,1,97,4.699,2563,2567.7
100,1,1,60000,1,98,4.689,2579,2583.69
100,1,1,60000,1,99,4.909,2564,2568.91
