grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60000,1,0,3381.71,183276,186658
50,50,50,60000,1,1,7631.17,182995,190626
50,50,50,60000,1,2,4169.42,182921,187090
50,50,50,60000,1,3,7337.54,182997,190335
50,50,50,60000,1,4,3880.84,182920,186801
50,50,50,60000,1,5,7531.94,182989,190521
50,50,50,60000,1,6,3423,182909,186332
50,50,50,60000,1,7,7430.43,182991,190421
50,50,50,60000,1,8,7574.57,183036,190611
50,50,50,60000,1,9,3797.08,182916,186713
args: -sizex=50 -sizey=50 -sizez=50 -iters=60000 -batch=10 -bsize=1
