grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60000,1,0,3671.02,185612,189283
50,50,50,60000,1,1,6360.25,185729,192089
50,50,50,60000,1,2,7287.01,185661,192948
50,50,50,60000,1,3,7157.06,185748,192905
50,50,50,60000,1,4,7184.02,185590,192774
50,50,50,60000,1,5,7384.87,185759,193144
50,50,50,60000,1,6,7308,185680,192988
50,50,50,60000,1,7,7243.04,185775,193018
50,50,50,60000,1,8,7195.68,185678,192874
50,50,50,60000,1,9,6274.76,185704,191979
50,50,50,60000,1,10,7779.45,185691,193470
50,50,50,60000,1,11,7379.51,185758,193138
50,50,50,60000,1,12,7377.02,185687,193064
50,50,50,60000,1,13,7655.88,185795,193451
50,50,50,60000,1,14,6693.61,185580,192274
50,50,50,60000,1,15,6362.02,185671,192033
50,50,50,60000,1,16,7385.94,185664,193050
50,50,50,60000,1,17,7307.68,185667,192975
50,50,50,60000,1,18,6799.12,185580,192379
50,50,50,60000,1,19,7378.95,185758,193137
50,50,50,60000,1,20,7619.15,185688,193307
50,50,50,60000,1,21,7366.65,185784,193151
50,50,50,60000,1,22,6465.61,185642,192108
50,50,50,60000,1,23,7722.63,185809,193532
50,50,50,60000,1,24,7129.63,185698,192828
50,50,50,60000,1,25,7506.63,185768,193275
50,50,50,60000,1,26,7062.94,185599,192662
50,50,50,60000,1,27,7729.4,185780,193509
50,50,50,60000,1,28,7696.98,185630,193327
50,50,50,60000,1,29,6933.55,185683,192617
50,50,50,60000,1,30,5898.31,185591,191489
50,50,50,60000,1,31,7671.96,185791,193463
50,50,50,60000,1,32,7802.74,185606,193409
50,50,50,60000,1,33,6944.82,185766,192711
50,50,50,60000,1,34,5687.08,185627,191314
50,50,50,60000,1,35,7623.08,185794,193417
50,50,50,60000,1,36,7591.36,185672,193263
50,50,50,60000,1,37,6942.05,185745,192687
50,50,50,60000,1,38,7613.87,185684,193298
50,50,50,60000,1,39,6711.63,185669,192381
50,50,50,60000,1,40,6716.27,185576,192292
50,50,50,60000,1,41,7087.46,185772,192859
50,50,50,60000,1,42,7019.88,185716,192736
50,50,50,60000,1,43,6920.48,185772,192692
50,50,50,60000,1,44,6916.45,185667,192583
50,50,50,60000,1,45,7054.53,185798,192853
50,50,50,60000,1,46,7239.92,185688,192928
50,50,50,60000,1,47,7176.39,185759,192935
50,50,50,60000,1,48,7018.83,185673,192692
50,50,50,60000,1,49,7491.06,185791,193282
