File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 50 Batches (kJ)
30_30_30_10_hls_power_profile.csv,30,30,30,1,20,40.66242628571429,1741,0.07079328416342857,0.0035396642081714285,0.17698321040857143
30_30_30_1_hls_power_profile.csv,30,30,30,1,10,29.364925999999997,10385,0.30495475651,0.030495475650999998,1.5247737825499998
30_30_30_50_hls_power_profile.csv,30,30,30,1,100,39.816350666666665,6129,0.24403441323599998,0.00244034413236,0.12201720661799999
50_50_50_1_hls_power_profile.csv,50,50,50,1,10,39.84576980000001,2480,0.09881750910400001,0.009881750910400002,0.4940875455200001
50_50_50_50_hls_power_profile.csv,50,50,50,1,100,43.71171312820513,19769,0.8641368568314872,0.008641368568314873,0.4320684284157436
50_50_50_10_hls_power_profile.csv,50,50,50,1,20,41.51627277777778,4428,0.18383405586,0.009191702793,0.45958513965000003
100_100_100_1_hls_power_profile.csv,100,100,100,1,10,43.38871845,10149,0.44035210354904997,0.044035210354905,2.20176051774525
100_100_100_50_hls_power_profile.csv,100,100,100,1,100,43.90077345333333,94488,4.148096282058559,0.041480962820585596,2.0740481410292797
100_100_100_10_hls_power_profile.csv,100,100,100,1,20,43.71996327272728,19617,0.8576545195210911,0.04288272597605455,2.1441362988027275
150_150_150_10_hls_power_profile.csv,150,150,150,1,20,44.901695433962274,53693,2.4109067329357363,0.12054533664678682,6.0272668323393415
150_150_150_1_hls_power_profile.csv,150,150,150,1,10,44.46956705405405,27116,1.2058367802377297,0.12058367802377297,6.029183901188649
200_200_200_1_hls_power_profile.csv,200,200,200,1,10,45.593042582608696,57848,2.637466327318748,0.2637466327318748,13.187331636593742
250_250_250_1_hls_power_profile.csv,250,250,250,1,10,46.37236013033176,106404,4.93420460730782,0.49342046073078205,24.671023036539104
300_300_300_1_hls_power_profile.csv,300,300,300,1,10,46.07025123748212,175766,8.097583779007282,0.8097583779007282,40.487918895036415
