grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
100,100,100,60044,1,0,25693.5,1.15518e+06,1.18088e+06
100,100,100,60044,1,1,31480.2,1.15516e+06,1.18664e+06
100,100,100,60044,1,2,33130.5,1.15508e+06,1.18821e+06
100,100,100,60044,1,3,32069,1.15522e+06,1.18728e+06
100,100,100,60044,1,4,31490.6,1.15513e+06,1.18662e+06
100,100,100,60044,1,5,32299.8,1.15513e+06,1.18743e+06
100,100,100,60044,1,6,32510,1.1551e+06,1.18761e+06
100,100,100,60044,1,7,25748,1.15512e+06,1.18086e+06
100,100,100,60044,1,8,32364.5,1.15514e+06,1.1875e+06
100,100,100,60044,1,9,33644.2,1.1551e+06,1.18874e+06
100,100,100,60044,1,10,31912,1.15512e+06,1.18703e+06
100,100,100,60044,1,11,34942.7,1.15512e+06,1.19007e+06
100,100,100,60044,1,12,32287.6,1.15514e+06,1.18743e+06
100,100,100,60044,1,13,34289.1,1.15513e+06,1.18942e+06
100,100,100,60044,1,14,34934.2,1.15513e+06,1.19006e+06
100,100,100,60044,1,15,33337.4,1.15514e+06,1.18848e+06
100,100,100,60044,1,16,31699.3,1.1551e+06,1.1868e+06
100,100,100,60044,1,17,31225.3,1.15513e+06,1.18636e+06
100,100,100,60044,1,18,31554.9,1.15509e+06,1.18664e+06
100,100,100,60044,1,19,31531.8,1.15506e+06,1.18659e+06
