Timestamp,Power (W)
1745531702174,34
1745531707127,34
1745531712128,41
1745531717128,42
1745531722129,42
1745531726628,42
1745531731628,42
1745531736628,42
1745531741629,42
1745531746628,42
1745531751628,42
1745531756128,38
1745531761129,40
1745531766128,42
1745531771127,43
1745531776128,42
1745531781128,40
1745531785630,42
1745531790629,42
1745531795628,40
1745531800629,41
1745531805629,42
1745531810628,41
1745531815128,39
1745531820127,41
1745531825128,39
1745531830128,42
1745531835129,41
1745531840128,42
1745531844628,41
1745531849630,42
1745531854630,42
1745531859628,41
1745531864629,42
1745531869628,40
1745531874128,39
1745531879128,42
1745531884129,40
1745531889129,39
1745531894128,39
1745531899128,39
1745531903628,42
1745531908627,38
1745531913629,42
1745531918627,38
1745531923628,41
1745531928627,43
1745531933129,38
1745531938128,41
1745531943128,42
1745531948128,42
1745531953130,39
1745531958128,41
1745531962628,42
1745531967628,42
1745531972628,42
1745531977631,42
1745531982630,40
1745531987627,41
1745531992128,40
1745531997129,42
1745532002128,41
1745532007128,41
1745532012128,42
1745532017129,41
1745532021628,40
1745532026628,39
1745532031630,42
1745532036626,41
1745532041628,42
1745532046629,39
1745532051128,42
1745532056129,42
1745532061129,42
1745532066129,39
1745532071130,42
1745532076128,38
1745532080629,42
1745532085628,42
1745532090628,42
1745532095631,42
1745532100629,42
1745532105631,42
1745532110130,37
1745532115129,40
1745532120129,38
1745532125129,40
1745532130128,37
1745532135129,38
1745532139629,41
1745532144630,39
1745532149628,42
1745532154629,39
1745532159629,38
1745532164628,42
1745532169131,42
1745532174130,42
1745532179129,39
1745532184128,40
1745532189129,42
1745532194131,42
1745532198629,37
1745532203631,42
1745532208628,42
1745532213630,42
1745532218630,38
1745532223629,41
1745532228129,42
1745532233131,42
1745532238130,40
1745532243130,39
1745532248130,43
1745532253130,37
1745532257631,41
1745532262630,42
1745532267630,42
1745532272630,41
1745532277630,40
1745532282628,40
1745532287130,41
1745532292131,40
1745532297132,39
1745532302131,42
1745532307129,42
1745532312130,42
1745532316631,42
1745532321630,42
1745532326629,42
1745532331630,42
1745532336630,40
1745532341630,38
1745532346130,41
1745532351130,42
1745532356130,42
1745532361131,43
1745532366132,41
1745532371131,39
1745532375630,38
1745532380631,42
1745532385630,42
1745532390631,39
1745532395669,38
Command: /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/heat3d_fpga_experimental/opt_kernel/hls/build/hw/heat3d_host /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/heat3d_fpga_experimental/opt_kernel/hls/build/hw/heat3d.xclbin -sizex=250 -sizey=250 -sizez=250 -iters=60044 -piter=50
