Timestamp,Power (W)
1755382720532,70.075928
1755382720788,70.075928
1755382721056,37.248056
1755382721319,37.248056
1755382721591,37.248056
1755382721845,37.248056
1755382722104,64.588112
1755382722366,64.588112
1755382722634,64.588112
1755382722890,64.588112
1755382723137,68.778729
1755382723389,68.778729
1755382723654,68.778729
1755382723914,68.778729
1755382724171,70.058111
1755382724428,70.058111
1755382724695,70.058111
1755382724949,70.058111
1755382725190,71.618436
1755382725447,71.618436
1755382725713,71.618436
1755382725962,71.618436
1755382726216,71.901120
1755382726480,71.901120
1755382726757,71.901120
1755382727016,71.901120
1755382727283,73.048850
1755382727532,73.048850
1755382727795,73.048850
1755382728044,73.048850
1755382728306,72.897527
1755382728566,72.897527
1755382728837,72.897527
1755382729092,72.897527
1755382729348,70.054368
1755382729599,70.054368
1755382729861,70.054368
1755382730132,70.054368
1755382730386,72.468892
1755382730639,72.468892
1755382730901,72.468892
1755382731161,72.468892
1755382731418,69.220975
1755382731669,69.220975
1755382731940,69.220975
1755382732187,69.220975
1755382732447,71.059777
1755382732706,71.059777
1755382732976,71.059777
1755382733234,71.059777
1755382733496,70.564489
1755382733766,70.564489
1755382734024,70.564489
1755382734286,70.564489
1755382734543,70.298612
1755382734880,70.298612
Command: /home/x_thileeb/repos/ops-hls-pact25-artifact/codegen_apps/jacobian2d/u280_datacopy_project/hls/build/hw/jac2D9pt_host /home/x_thileeb/repos/ops-hls-pact25-artifact/codegen_apps/jacobian2d/u280_datacopy_project/hls/build/hw/jac2D9pt.xclbin -sizex=200 -sizey=100 -iters=60018 -piter=500 -bsize=10
