grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
400,400,1,60018,1,0,2876.39,223139,226015
400,400,1,60018,1,1,2879.79,223150,226030
400,400,1,60018,1,2,2878.35,223187,226065
400,400,1,60018,1,3,2881.51,223180,226062
400,400,1,60018,1,4,2820.85,223203,226024
400,400,1,60018,1,5,2822.78,223182,226005
400,400,1,60018,1,6,2806.63,223218,226025
400,400,1,60018,1,7,2694.65,223162,225857
400,400,1,60018,1,8,2925.34,223186,226111
400,400,1,60018,1,9,2851.54,223146,225998
400,400,1,60018,1,10,2822.5,223159,225982
400,400,1,60018,1,11,2877.61,223155,226033
400,400,1,60018,1,12,2862.35,223156,226018
400,400,1,60018,1,13,2900.32,223176,226076
400,400,1,60018,1,14,2890.67,223167,226058
400,400,1,60018,1,15,2884.19,223177,226061
400,400,1,60018,1,16,2888.72,223171,226060
400,400,1,60018,1,17,2875.18,223139,226014
400,400,1,60018,1,18,2892.05,223118,226010
400,400,1,60018,1,19,2870.82,223134,226005
args: -sizex=400 -sizey=400 -iters=60018 -batch=20 -bsize=1
