grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,1,1,12803.66
60,60,1,1,18865.31
100,100,1,1,28760.11
200,100,1,1,43457.99
200,200,1,1,68171.32
300,150,1,1,75503.6
300,300,1,1,129575.9
400,200,1,1,122894.8
400,300,1,1,172187.45
400,400,1,1,223165.25
30,30,1,10,2855.7200000000003
60,60,1,10,6559.1900000000005
100,100,1,10,15630.390000000003
200,100,1,10,27668.519999999997
200,200,1,10,52431.630000000005
300,150,1,10,57781.850000000006
300,300,1,10,112131.0
400,200,1,10,103315.5
400,300,1,10,152750.5
400,400,1,10,202382.0
30,30,1,20,2240.2599999999998
60,60,1,20,5844.44
100,100,1,20,14875.14
200,100,1,20,26785.0
200,200,1,20,51566.58
300,150,1,20,56746.1
300,300,1,20,111102.0
400,200,1,20,102130.0
400,300,1,20,151648.0
400,400,1,20,201203.0
30,30,1,50,1890.51
60,60,1,50,5466.98
100,100,1,50,14431.7
200,100,1,50,26255.6
200,200,1,50,51023.15
300,150,1,50,56182.5
300,300,1,50,110478.0
400,200,1,50,101419.0
400,300,1,50,150958.0
400,400,1,50,200498.0
30,30,1,100,1770.01
60,60,1,100,5322.08
100,100,1,100,14275.1
200,100,1,100,26081.6
200,200,1,100,50848.2
300,150,1,100,55971.5
300,300,1,100,110285.0
400,200,1,100,101187.0
400,300,1,100,150730.0
400,400,1,100,200268.0
