grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,300,1,60018,1,0,1593.62,114763,116357
300,300,1,60018,1,1,1573.29,115212,116785
300,300,1,60018,1,2,1612.39,114944,116556
300,300,1,60018,1,3,1572.98,114960,116533
300,300,1,60018,1,4,1581.3,114861,116442
300,300,1,60018,1,5,1587.59,114849,116437
300,300,1,60018,1,6,1411.43,114868,116279
300,300,1,60018,1,7,1488.4,114864,116352
300,300,1,60018,1,8,1543.29,114873,116416
300,300,1,60018,1,9,1384.27,114874,116258
300,300,1,60018,1,10,1554.8,114858,116413
300,300,1,60018,1,11,1485.98,114855,116341
300,300,1,60018,1,12,1433.41,114866,116299
300,300,1,60018,1,13,1572.91,114889,116462
300,300,1,60018,1,14,1431.3,114858,116289
300,300,1,60018,1,15,1476.9,114863,116340
300,300,1,60018,1,16,1562.47,114862,116424
300,300,1,60018,1,17,1382.78,114864,116247
300,300,1,60018,1,18,1530.05,114868,116398
300,300,1,60018,1,19,1528.53,114870,116399
