grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,1,60018,1,0,18.7736,1932.7,1951.47
30,30,1,60018,1,1,18.3047,1937,1955.3
30,30,1,60018,1,2,18.3287,1939.2,1957.53
30,30,1,60018,1,3,18.3188,1939.5,1957.82
30,30,1,60018,1,4,17.7317,1939.9,1957.63
30,30,1,60018,1,5,16.1326,1936.8,1952.93
30,30,1,60018,1,6,16.0865,1978.9,1994.99
30,30,1,60018,1,7,16.0765,1939.5,1955.58
30,30,1,60018,1,8,16.0835,1937.9,1953.98
30,30,1,60018,1,9,16.7819,1940.2,1956.98
args: -sizex=30 -sizey=30 -iters=60018 -batch=10 -bsize=10
