grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,550,1,60018,1,0,2775.57,221901,224677
300,550,1,60018,1,1,2618.3,222029,224647
300,550,1,60018,1,2,2678.53,222063,224742
300,550,1,60018,1,3,2765.19,222063,224828
300,550,1,60018,1,4,2538.1,222064,224602
300,550,1,60018,1,5,2538.6,222060,224599
300,550,1,60018,1,6,2750.01,222075,224825
300,550,1,60018,1,7,2551.77,222069,224621
300,550,1,60018,1,8,2529.04,222059,224588
300,550,1,60018,1,9,2531.51,222079,224611
300,550,1,60018,1,10,2537.01,222046,224583
300,550,1,60018,1,11,2525.95,222060,224586
300,550,1,60018,1,12,2534.04,222081,224615
300,550,1,60018,1,13,2531.36,222050,224581
300,550,1,60018,1,14,2548.5,222055,224603
300,550,1,60018,1,15,2536.95,222063,224600
300,550,1,60018,1,16,2672.82,222059,224732
300,550,1,60018,1,17,2538.09,222060,224598
300,550,1,60018,1,18,2673.09,222070,224743
300,550,1,60018,1,19,2725.23,222061,224786
