Timestamp,Power (W)
1745534808173,33
1745534813136,33
1745534818138,42
1745534823137,41
1745534828136,42
1745534832636,41
1745534837638,41
1745534842636,41
1745534847638,42
1745534852637,42
1745534857638,42
1745534862137,42
1745534867137,42
1745534872137,42
1745534877137,42
1745534882138,42
1745534887136,42
1745534891637,42
1745534896638,42
1745534901638,42
1745534906638,42
1745534911639,42
1745534916637,42
1745534921137,42
1745534926140,42
1745534931138,42
1745534936139,42
1745534941137,42
1745534946139,42
1745534950637,42
1745534955638,42
1745534960638,42
1745534965638,42
1745534970638,42
1745534975638,42
1745534980137,41
1745534985137,42
1745534990138,41
1745534995138,42
1745535000138,42
1745535005137,42
1745535009639,42
1745535014639,42
1745535019638,42
1745535024639,42
1745535029638,42
1745535034638,42
1745535039138,42
1745535044139,42
1745535049137,42
1745535054138,42
1745535059138,42
1745535064138,42
1745535068637,42
1745535073640,42
1745535078638,42
1745535083638,42
1745535088638,42
1745535093638,42
1745535098138,42
1745535103139,42
1745535108137,42
1745535113137,42
1745535118139,42
1745535123138,42
1745535127638,42
1745535132639,42
1745535137640,42
1745535142638,42
1745535147638,42
1745535152697,33
Command: /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac2D9pt_fpga_experimental/hls/build/hw/jac2D9pt_host /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac2D9pt_fpga_experimental/hls/build/hw/jac2D9pt.xclbin -sizex=200 -sizey=200 -iters=60012 -piter=5000
