grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
400,375,1,60012,1,0,2332.48,232034,234366
400,375,1,60012,1,1,2442.09,232034,234476
400,375,1,60012,1,2,2456.2,232049,234505
400,375,1,60012,1,3,2557.33,232052,234609
400,375,1,60012,1,4,2371.17,232057,234428
400,375,1,60012,1,5,2327.77,232052,234380
400,375,1,60012,1,6,2334.65,232105,234440
400,375,1,60012,1,7,2355.83,232060,234416
400,375,1,60012,1,8,2344.59,232048,234393
400,375,1,60012,1,9,2348.54,232045,234394
400,375,1,60012,1,10,2354.28,232054,234408
400,375,1,60012,1,11,2340.76,232058,234399
400,375,1,60012,1,12,2343.72,232037,234381
400,375,1,60012,1,13,2333.11,232052,234385
400,375,1,60012,1,14,2339.11,232030,234369
400,375,1,60012,1,15,2344.95,232061,234406
400,375,1,60012,1,16,2396.21,232024,234420
400,375,1,60012,1,17,2525.91,232061,234587
400,375,1,60012,1,18,2361.81,232064,234426
400,375,1,60012,1,19,2362.69,232063,234426
