grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60048,1,0,2163.37,253227,255390
50,50,50,60048,1,1,2331.2,253240,255571
50,50,50,60048,1,2,2239.86,253303,255543
50,50,50,60048,1,3,2259.16,253247,255506
50,50,50,60048,1,4,2302.43,253287,255589
50,50,50,60048,1,5,2193.47,253220,255413
50,50,50,60048,1,6,2350.64,253292,255643
50,50,50,60048,1,7,2150.47,253222,255372
50,50,50,60048,1,8,2160.48,253297,255457
50,50,50,60048,1,9,2154.14,253225,255379
args: -sizex=50 -sizey=50 -sizez=50 -iters=60048 -batch=10 -bsize=1
