grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
50,50,50,60048,1,0,2152.7,252661,254814
50,50,50,60048,1,1,2142.35,252794,254936
50,50,50,60048,1,2,2138.92,252803,254942
50,50,50,60048,1,3,2152.75,252767,254920
50,50,50,60048,1,4,2138.48,252806,254944
50,50,50,60048,1,5,2148.63,252766,254915
50,50,50,60048,1,6,2138.93,252827,254966
50,50,50,60048,1,7,2243.76,252795,255039
50,50,50,60048,1,8,2407.66,252831,255239
50,50,50,60048,1,9,2330.63,252757,255088
50,50,50,60048,1,10,2145.37,252823,254968
50,50,50,60048,1,11,2138.5,252763,254902
50,50,50,60048,1,12,2147.33,252833,254980
50,50,50,60048,1,13,2136.99,252771,254908
50,50,50,60048,1,14,2146.72,252814,254961
50,50,50,60048,1,15,2137.74,252763,254901
50,50,50,60048,1,16,2140.72,252806,254947
50,50,50,60048,1,17,2137.42,252772,254909
50,50,50,60048,1,18,2146.25,252835,254981
50,50,50,60048,1,19,2149.37,252767,254916
50,50,50,60048,1,20,2182.26,252811,254993
50,50,50,60048,1,21,2141.06,252754,254895
50,50,50,60048,1,22,2149.55,252817,254967
50,50,50,60048,1,23,2238.36,252762,255000
50,50,50,60048,1,24,2393.45,252815,255208
50,50,50,60048,1,25,2142.81,252773,254916
50,50,50,60048,1,26,2173.5,252819,254992
50,50,50,60048,1,27,2155.41,252768,254923
50,50,50,60048,1,28,2140.47,252816,254956
50,50,50,60048,1,29,2151.62,252787,254939
50,50,50,60048,1,30,2144.94,252811,254956
50,50,50,60048,1,31,2154.04,252773,254927
50,50,50,60048,1,32,2187.48,252822,255009
50,50,50,60048,1,33,2319.01,252775,255094
50,50,50,60048,1,34,2158.1,252802,254960
50,50,50,60048,1,35,2143.64,252757,254901
50,50,50,60048,1,36,2139.68,252819,254959
50,50,50,60048,1,37,2140.66,252773,254914
50,50,50,60048,1,38,2202.36,252809,255011
50,50,50,60048,1,39,2154.26,252785,254939
50,50,50,60048,1,40,2251.36,252824,255075
50,50,50,60048,1,41,2149.37,252769,254918
50,50,50,60048,1,42,2136.26,252813,254949
50,50,50,60048,1,43,2144.79,252763,254908
50,50,50,60048,1,44,2150.66,252807,254958
50,50,50,60048,1,45,2141.11,252774,254915
50,50,50,60048,1,46,2147.76,252805,254953
50,50,50,60048,1,47,2232.75,252774,255007
50,50,50,60048,1,48,2430.4,252821,255251
50,50,50,60048,1,49,2444.23,252767,255211
