File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 50 Batches (kJ)
30_30_30_10_hls_power_profile.csv,30,30,30,1,20,49.17534314285714,1864,0.09166283961828571,0.004583141980914285,0.22915709904571427
30_30_30_50_hls_power_profile.csv,30,30,30,1,100,45.81292326666666,7356,0.33699986354959993,0.0033699986354959995,0.16849993177479997
30_30_30_1_hls_power_profile.csv,30,30,30,1,10,33.640940500000006,1556,0.05234530341800001,0.005234530341800001,0.26172651709000005
50_50_50_50_hls_power_profile.csv,50,50,50,1,100,54.376781219047615,26587,1.445715482270819,0.01445715482270819,0.7228577411354095
50_50_50_1_hls_power_profile.csv,50,50,50,1,10,46.98840384615384,3285,0.15435690663461538,0.015435690663461538,0.7717845331730768
50_50_50_10_hls_power_profile.csv,50,50,50,1,20,51.46726795652175,6069,0.3123548492281305,0.015617742461406525,0.7808871230703263
100_100_100_50_hls_power_profile.csv,100,100,100,1,100,37.99186789169675,140710,5.34583573104065,0.053458357310406504,2.672917865520325
100_100_100_10_hls_power_profile.csv,100,100,100,1,20,38.31052017699115,28584,1.0950679087391149,0.054753395436955746,2.7376697718477874
100_100_100_1_hls_power_profile.csv,100,100,100,1,10,38.27890235593222,14783,0.5658770135277459,0.05658770135277459,2.8293850676387295
150_150_150_1_hls_power_profile.csv,150,150,150,1,10,38.29213726946108,41827,1.6016452255697484,0.16016452255697483,8.008226127848742
150_150_150_10_hls_power_profile.csv,150,150,150,1,20,38.318543169230765,82912,3.1770670512472616,0.15885335256236308,7.942667628118154
200_200_200_1_hls_power_profile.csv,200,200,200,1,5,63.21108837362638,46350,2.929833946117583,0.5859667892235165,29.298339461175825
250_250_250_1_hls_power_profile.csv,250,250,250,1,5,43.9015873816568,85877,3.770136619574541,0.7540273239149082,37.701366195745415
300_300_300_1_hls_power_profile.csv,300,300,300,1,5,62.494518545936394,143695,8.98014984245833,1.7960299684916659,89.80149842458329
