grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,30,60016,1,0,584.872,68996,69580.9
30,30,30,60016,1,1,571.757,68940,69511.8
30,30,30,60016,1,2,507.013,68906,69413
30,30,30,60016,1,3,509.378,68863,69372.4
30,30,30,60016,1,4,506.924,68907,69413.9
30,30,30,60016,1,5,519.937,68928,69447.9
30,30,30,60016,1,6,506.674,68921,69427.7
30,30,30,60016,1,7,507.415,68953,69460.4
30,30,30,60016,1,8,505.761,68986,69491.8
30,30,30,60016,1,9,559.233,68935,69494.2
30,30,30,60016,1,10,581.475,68921,69502.5
30,30,30,60016,1,11,577.537,68920,69497.5
30,30,30,60016,1,12,585.393,68893,69478.4
30,30,30,60016,1,13,577.357,68905,69482.4
30,30,30,60016,1,14,575.474,68926,69501.5
30,30,30,60016,1,15,571.035,69012,69583
30,30,30,60016,1,16,506.292,68934,69440.3
30,30,30,60016,1,17,507.625,68907,69414.6
30,30,30,60016,1,18,511.793,68942,69453.8
30,30,30,60016,1,19,611.653,68929,69540.7
30,30,30,60016,1,20,507.805,68934,69441.8
30,30,30,60016,1,21,506.392,69195,69701.4
30,30,30,60016,1,22,508.457,68945,69453.5
30,30,30,60016,1,23,507.153,68938,69445.2
30,30,30,60016,1,24,508.627,68926,69434.6
30,30,30,60016,1,25,507.234,68933,69440.2
30,30,30,60016,1,26,510.43,68924,69434.4
30,30,30,60016,1,27,512.234,68940,69452.2
30,30,30,60016,1,28,506.472,68974,69480.5
30,30,30,60016,1,29,504.97,68920,69425
30,30,30,60016,1,30,509.558,68917,69426.6
30,30,30,60016,1,31,515.76,68947,69462.8
30,30,30,60016,1,32,514.187,68923,69437.2
30,30,30,60016,1,33,514.849,68928,69442.8
30,30,30,60016,1,34,514.778,68917,69431.8
30,30,30,60016,1,35,521.562,68938,69459.6
30,30,30,60016,1,36,515.709,68917,69432.7
30,30,30,60016,1,37,516.23,68911,69427.2
30,30,30,60016,1,38,514.297,68908,69422.3
30,30,30,60016,1,39,515.931,68884,69399.9
30,30,30,60016,1,40,514.629,68918,69432.6
30,30,30,60016,1,41,516.041,68906,69422
30,30,30,60016,1,42,515.46,68928,69443.5
30,30,30,60016,1,43,525.839,68852,69377.8
30,30,30,60016,1,44,522.463,68875,69397.5
30,30,30,60016,1,45,514.818,68948,69462.8
30,30,30,60016,1,46,519.798,68908,69427.8
30,30,30,60016,1,47,515.119,68919,69434.1
30,30,30,60016,1,48,515.309,68904,69419.3
30,30,30,60016,1,49,517.133,68910,69427.1
