Timestamp,Power (W)
1745537520230,35
1745537525147,45
1745537530148,45
1745537535148,45
1745537540148,45
1745537545147,45
1745537549649,45
1745537554648,45
1745537559648,45
1745537564649,45
1745537569648,45
1745537574649,45
1745537579150,45
1745537584149,45
1745537589149,45
1745537594148,45
1745537599148,45
1745537604148,45
1745537608647,45
1745537613651,45
1745537618649,45
1745537623648,45
1745537628648,45
1745537633648,44
1745537638148,45
1745537643149,45
1745537648148,45
1745537653149,45
1745537658149,45
1745537663149,45
1745537667648,45
1745537672648,45
1745537677647,45
1745537682646,45
1745537687648,45
1745537692648,45
1745537697147,45
1745537702149,45
1745537707148,45
1745537712149,45
1745537717149,45
1745537722147,45
1745537726647,45
1745537731648,45
1745537736648,45
1745537741650,45
1745537746648,45
1745537751648,45
1745537756148,45
1745537761148,45
1745537766152,45
1745537771148,45
1745537776147,45
1745537781148,45
1745537785648,45
1745537790648,45
1745537795648,45
1745537800648,45
1745537805650,45
1745537810648,45
1745537815148,45
1745537820148,45
1745537825147,45
1745537830150,45
1745537835148,45
1745537840148,45
1745537844648,45
1745537849649,45
1745537854649,45
1745537859648,45
1745537864648,45
1745537869149,45
1745537874148,45
1745537879148,45
1745537884148,45
1745537889147,45
1745537894147,45
1745537898648,45
1745537903648,45
1745537908648,45
1745537913649,45
1745537918649,45
1745537923649,45
1745537928148,45
1745537933150,45
1745537938149,45
1745537943149,45
1745537948150,45
1745537953149,45
1745537957648,45
1745537962648,45
1745537967648,45
1745537972648,45
1745537977648,45
1745537982648,45
1745537987148,45
1745537992150,45
1745537997151,45
1745538002151,45
1745538007149,45
1745538012151,45
1745538016652,45
1745538021651,45
1745538026651,45
1745538031650,45
1745538036648,45
1745538041648,45
1745538046150,45
1745538051150,45
1745538056149,45
1745538061150,45
1745538066150,45
1745538071151,45
1745538075650,45
1745538080650,45
1745538085651,45
1745538090651,45
1745538095651,45
1745538100709,35
Command: /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac3D7pt_fpga_experimental/hls/build/hw/jac3D7pt_host /home/x_thileeb/repos/OPS_mine_vck5000/apps/c/jac3D7pt_fpga_experimental/hls/build/hw/jac3D7pt.xclbin -sizex=50 -sizey=50 -sizez=50 -iters=60016 -piter=2000
