grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,200,1,60120,1,0,28.835,15329,15357.8
200,200,1,60120,1,1,33.794,15294,15327.8
200,200,1,60120,1,2,32.302,15296,15328.3
200,200,1,60120,1,3,32.112,15277,15309.1
200,200,1,60120,1,4,31.48,15261,15292.5
200,200,1,60120,1,5,31.361,15272,15303.4
200,200,1,60120,1,6,31.57,15276,15307.6
200,200,1,60120,1,7,29.376,15253,15282.4
200,200,1,60120,1,8,31.601,15275,15306.6
200,200,1,60120,1,9,31.58,15279,15310.6
200,200,1,60120,1,10,31.55,15262,15293.5
200,200,1,60120,1,11,31.47,15265,15296.5
200,200,1,60120,1,12,31.61,15284,15315.6
200,200,1,60120,1,13,31.53,15273,15304.5
200,200,1,60120,1,14,31.69,15281,15312.7
200,200,1,60120,1,15,31.5,15272,15303.5
200,200,1,60120,1,16,31.32,15311,15342.3
200,200,1,60120,1,17,33.153,15312,15345.2
200,200,1,60120,1,18,33.163,15312,15345.2
200,200,1,60120,1,19,33.274,15309,15342.3
200,200,1,60120,1,20,33.384,15312,15345.4
200,200,1,60120,1,21,33.403,15315,15348.4
200,200,1,60120,1,22,33.163,15316,15349.2
200,200,1,60120,1,23,33.264,15312,15345.3
200,200,1,60120,1,24,33.324,15323,15356.3
200,200,1,60120,1,25,33.102,15316,15349.1
200,200,1,60120,1,26,33.464,15331,15364.5
200,200,1,60120,1,27,33.133,15340,15373.1
200,200,1,60120,1,28,33.464,15341,15374.5
200,200,1,60120,1,29,33.304,15344,15377.3
200,200,1,60120,1,30,33.103,15322,15355.1
200,200,1,60120,1,31,33.363,15350,15383.4
200,200,1,60120,1,32,33.203,15302,15335.2
200,200,1,60120,1,33,33.223,15308,15341.2
200,200,1,60120,1,34,33.143,15301,15334.1
200,200,1,60120,1,35,33.535,15303,15336.5
200,200,1,60120,1,36,33.212,15327,15360.2
200,200,1,60120,1,37,33.454,15319,15352.5
200,200,1,60120,1,38,33.393,15303,15336.4
200,200,1,60120,1,39,33.112,15325,15358.1
200,200,1,60120,1,40,33.234,15320,15353.2
200,200,1,60120,1,41,33.393,15324,15357.4
200,200,1,60120,1,42,33.483,15304,15337.5
200,200,1,60120,1,43,33.324,15436,15469.3
200,200,1,60120,1,44,33.343,15315,15348.3
200,200,1,60120,1,45,33.173,15319,15352.2
200,200,1,60120,1,46,33.083,15311,15344.1
200,200,1,60120,1,47,33.263,15328,15361.3
200,200,1,60120,1,48,33.072,15320,15353.1
200,200,1,60120,1,49,33.202,15318,15351.2
200,200,1,60120,1,50,33.263,15313,15346.3
200,200,1,60120,1,51,33.353,15330,15363.4
200,200,1,60120,1,52,33.212,15346,15379.2
200,200,1,60120,1,53,33.294,15324,15357.3
200,200,1,60120,1,54,33.293,15327,15360.3
200,200,1,60120,1,55,33.082,15310,15343.1
200,200,1,60120,1,56,33.224,15321,15354.2
200,200,1,60120,1,57,33.173,15313,15346.2
200,200,1,60120,1,58,33.365,15310,15343.4
200,200,1,60120,1,59,33.413,15322,15355.4
200,200,1,60120,1,60,33.393,15327,15360.4
200,200,1,60120,1,61,33.193,15354,15387.2
200,200,1,60120,1,62,33.324,15326,15359.3
200,200,1,60120,1,63,33.385,15368,15401.4
200,200,1,60120,1,64,33.263,15323,15356.3
200,200,1,60120,1,65,33.313,15343,15376.3
200,200,1,60120,1,66,33.203,15324,15357.2
200,200,1,60120,1,67,33.133,15353,15386.1
200,200,1,60120,1,68,33.444,15316,15349.4
200,200,1,60120,1,69,33.424,15351,15384.4
200,200,1,60120,1,70,33.293,15602,15635.3
200,200,1,60120,1,71,21.441,15325,15346.4
200,200,1,60120,1,72,33.674,15342,15375.7
200,200,1,60120,1,73,33.734,15336,15369.7
200,200,1,60120,1,74,31.039,15311,15342
200,200,1,60120,1,75,31.069,15280,15311.1
200,200,1,60120,1,76,17.643,15268,15285.6
200,200,1,60120,1,77,33.202,15290,15323.2
200,200,1,60120,1,78,17.694,15276,15293.7
200,200,1,60120,1,79,33.253,15303,15336.3
200,200,1,60120,1,80,17.634,15276,15293.6
200,200,1,60120,1,81,33.423,15326,15359.4
200,200,1,60120,1,82,31.259,15353,15384.3
200,200,1,60120,1,83,33.303,15347,15380.3
200,200,1,60120,1,84,33.193,15331,15364.2
200,200,1,60120,1,85,33.343,15311,15344.3
200,200,1,60120,1,86,31.32,15267,15298.3
200,200,1,60120,1,87,31.249,15311,15342.2
200,200,1,60120,1,88,31.149,15362,15393.1
200,200,1,60120,1,89,33.383,15341,15374.4
200,200,1,60120,1,90,31.088,15315,15346.1
200,200,1,60120,1,91,30.938,15310,15340.9
200,200,1,60120,1,92,31.159,15343,15374.2
200,200,1,60120,1,93,33.213,15306,15339.2
200,200,1,60120,1,94,20.159,15305,15325.2
200,200,1,60120,1,95,31.199,15299,15330.2
200,200,1,60120,1,96,20.428,15315,15335.4
200,200,1,60120,1,97,33.164,15337,15370.2
200,200,1,60120,1,98,33.052,15351,15384.1
200,200,1,60120,1,99,33.294,15289,15322.3
