grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
200,200,1,60102,1,0,2502.04,14371.5,16873.5
200,200,1,60102,1,1,2506.95,14377.7,16884.7
200,200,1,60102,1,2,2508.46,14399.4,16907.9
200,200,1,60102,1,3,2515.7,14378.1,16893.8
200,200,1,60102,1,4,2501.82,14415.3,16917.1
200,200,1,60102,1,5,2445.37,14373.7,16819.1
200,200,1,60102,1,6,2412.31,14378,16790.3
200,200,1,60102,1,7,2402.75,14379.1,16781.8
200,200,1,60102,1,8,2390.38,14377.8,16768.2
200,200,1,60102,1,9,2344.68,14379.6,16724.3
args: -sizex=200 -sizey=200 -iters=60102 -batch=10 -bsize=10
