grid_x,grid_y,grid_z,batch_size,average_main_time
30,30,1,1,7938.31
60,60,1,1,10102.93
100,100,1,1,13655.05
200,100,1,1,19130.18
200,200,1,1,25595.69
300,150,1,1,29192.45
300,300,1,1,43363.95
400,200,1,1,43662.6
400,300,1,1,56479.2
400,400,1,1,69699.45
30,30,1,10,1179.2100000000003
60,60,1,10,2197.19
100,100,1,10,4654.22
200,100,1,10,7936.2699999999995
200,200,1,10,14383.019999999999
300,150,1,10,15936.65
300,300,1,10,30044.35
400,200,1,10,27959.5
400,300,1,10,40824.55
400,400,1,10,53692.6
30,30,1,20,788.75
60,60,1,20,1747.97
100,100,1,20,4138.69
200,100,1,20,7318.62
200,200,1,20,13753.98
300,150,1,20,15209.0
300,300,1,20,29304.8
400,200,1,20,27068.5
400,300,1,20,39931.3
400,400,1,20,52792.5
30,30,1,50,555.52
60,60,1,50,1497.12
100,100,1,50,3840.51
200,100,1,50,6953.469999999999
200,200,1,50,13375.3
300,150,1,50,14760.0
300,300,1,50,28849.4
400,200,1,50,26537.2
400,300,1,50,39400.3
400,400,1,50,52262.3
30,30,1,100,478.18
60,60,1,100,1406.04
100,100,1,100,3739.99
200,100,1,100,6822.25
200,200,1,100,13253.8
300,150,1,100,14602.0
300,300,1,100,28702.3
400,200,1,100,26361.8
400,300,1,100,39223.5
400,400,1,100,52088.9
