grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,575,1,60102,1,0,10176.3,63107,73283.3
300,575,1,60102,1,1,9573.84,63118,72691.8
300,575,1,60102,1,2,9644.68,63121,72765.7
300,575,1,60102,1,3,9259.11,63170,72429.1
300,575,1,60102,1,4,9449.34,63183,72632.3
300,575,1,60102,1,5,9146.15,63197,72343.1
300,575,1,60102,1,6,9071.67,63197,72268.7
300,575,1,60102,1,7,9046.17,63190,72236.2
300,575,1,60102,1,8,9677.32,63184,72861.3
300,575,1,60102,1,9,10180.9,63186,73366.9
300,575,1,60102,1,10,10285,63184,73469
300,575,1,60102,1,11,10268,63193,73461
300,575,1,60102,1,12,9974.4,63182,73156.4
300,575,1,60102,1,13,9629.59,63182,72811.6
300,575,1,60102,1,14,9317.24,63180,72497.2
300,575,1,60102,1,15,9049.23,63194,72243.2
300,575,1,60102,1,16,9043.02,63182,72225
300,575,1,60102,1,17,9033.37,63187,72220.4
300,575,1,60102,1,18,9045.58,63198,72243.6
300,575,1,60102,1,19,9253.52,63214,72467.5
