grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,1,60102,1,0,86.785,7631,7717.78
30,30,1,60102,1,1,55.365,7623,7678.36
30,30,1,60102,1,2,54.974,7568,7622.97
30,30,1,60102,1,3,54.724,7573,7627.72
30,30,1,60102,1,4,54.574,7588,7642.57
30,30,1,60102,1,5,54.483,7632,7686.48
30,30,1,60102,1,6,54.222,7614,7668.22
30,30,1,60102,1,7,54.723,7573,7627.72
30,30,1,60102,1,8,54.534,7582,7636.53
30,30,1,60102,1,9,54.444,7558,7612.44
30,30,1,60102,1,10,54.673,7621,7675.67
30,30,1,60102,1,11,54.494,7604,7658.49
30,30,1,60102,1,12,54.654,7573,7627.65
30,30,1,60102,1,13,54.533,7576,7630.53
30,30,1,60102,1,14,54.634,7573,7627.63
30,30,1,60102,1,15,54.804,7619,7673.8
30,30,1,60102,1,16,54.544,7613,7667.54
30,30,1,60102,1,17,54.824,7585,7639.82
30,30,1,60102,1,18,54.584,7647,7701.58
30,30,1,60102,1,19,54.693,7654,7708.69
30,30,1,60102,1,20,54.724,7655,7709.72
30,30,1,60102,1,21,54.824,7627,7681.82
30,30,1,60102,1,22,54.784,7649,7703.78
30,30,1,60102,1,23,54.854,7656,7710.85
30,30,1,60102,1,24,54.533,7667,7721.53
30,30,1,60102,1,25,54.503,7659,7713.5
30,30,1,60102,1,26,54.844,7627,7681.84
30,30,1,60102,1,27,54.534,7615,7669.53
30,30,1,60102,1,28,54.593,7648,7702.59
30,30,1,60102,1,29,54.553,7621,7675.55
30,30,1,60102,1,30,54.624,7606,7660.62
30,30,1,60102,1,31,54.654,7610,7664.65
30,30,1,60102,1,32,55.084,7634,7689.08
30,30,1,60102,1,33,54.524,7646,7700.52
30,30,1,60102,1,34,54.633,7602,7656.63
30,30,1,60102,1,35,48.161,7605,7653.16
30,30,1,60102,1,36,48.041,7661,7709.04
30,30,1,60102,1,37,48.312,7636,7684.31
30,30,1,60102,1,38,48.031,7626,7674.03
30,30,1,60102,1,39,50.516,7657,7707.52
30,30,1,60102,1,40,55.426,7627,7682.43
30,30,1,60102,1,41,54.704,7658,7712.7
30,30,1,60102,1,42,54.965,7656,7710.97
30,30,1,60102,1,43,54.543,7668,7722.54
30,30,1,60102,1,44,54.925,7649,7703.93
30,30,1,60102,1,45,54.764,7676,7730.76
30,30,1,60102,1,46,54.634,7669,7723.63
30,30,1,60102,1,47,54.623,7668,7722.62
30,30,1,60102,1,48,54.503,7685,7739.5
30,30,1,60102,1,49,54.904,7667,7721.9
30,30,1,60102,1,50,54.744,7676,7730.74
30,30,1,60102,1,51,54.524,7622,7676.52
30,30,1,60102,1,52,54.694,7620,7674.69
30,30,1,60102,1,53,54.664,7611,7665.66
30,30,1,60102,1,54,54.653,7624,7678.65
30,30,1,60102,1,55,54.484,7624,7678.48
30,30,1,60102,1,56,56.397,7639,7695.4
30,30,1,60102,1,57,54.594,7635,7689.59
30,30,1,60102,1,58,54.644,7624,7678.64
30,30,1,60102,1,59,54.563,7607,7661.56
30,30,1,60102,1,60,56.988,7610,7666.99
30,30,1,60102,1,61,54.644,7629,7683.64
30,30,1,60102,1,62,54.764,7650,7704.76
30,30,1,60102,1,63,54.624,7633,7687.62
30,30,1,60102,1,64,55.325,7630,7685.32
30,30,1,60102,1,65,54.684,7625,7679.68
30,30,1,60102,1,66,54.604,7633,7687.6
30,30,1,60102,1,67,54.573,7621,7675.57
30,30,1,60102,1,68,54.664,7638,7692.66
30,30,1,60102,1,69,56.908,7629,7685.91
30,30,1,60102,1,70,54.814,7616,7670.81
30,30,1,60102,1,71,61.687,7612,7673.69
30,30,1,60102,1,72,54.835,7654,7708.84
30,30,1,60102,1,73,54.603,7594,7648.6
30,30,1,60102,1,74,54.654,7593,7647.65
30,30,1,60102,1,75,54.554,7576,7630.55
30,30,1,60102,1,76,54.613,7631,7685.61
30,30,1,60102,1,77,54.574,7567,7621.57
30,30,1,60102,1,78,55.375,7600,7655.38
30,30,1,60102,1,79,54.724,7673,7727.72
30,30,1,60102,1,80,54.744,7585,7639.74
30,30,1,60102,1,81,54.504,7586,7640.5
30,30,1,60102,1,82,54.433,7566,7620.43
30,30,1,60102,1,83,54.464,7569,7623.46
30,30,1,60102,1,84,54.684,7562,7616.68
30,30,1,60102,1,85,54.463,7554,7608.46
30,30,1,60102,1,86,54.504,7542,7596.5
30,30,1,60102,1,87,54.433,7586,7640.43
30,30,1,60102,1,88,54.463,7576,7630.46
30,30,1,60102,1,89,54.704,7575,7629.7
30,30,1,60102,1,90,54.774,7537,7591.77
30,30,1,60102,1,91,54.634,7595,7649.63
30,30,1,60102,1,92,54.464,7608,7662.46
30,30,1,60102,1,93,54.273,7544,7598.27
30,30,1,60102,1,94,54.353,7544,7598.35
30,30,1,60102,1,95,54.293,7628,7682.29
30,30,1,60102,1,96,54.734,7625,7679.73
30,30,1,60102,1,97,54.644,7568,7622.64
30,30,1,60102,1,98,54.413,7582,7636.41
30,30,1,60102,1,99,54.524,7574,7628.52
args: -sizex=30 -sizey=30 -iters=60102 -batch=100 -bsize=1
