File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 1000 Batches (kJ)
30_30_1_hls_power_profile.csv,30,30,1,1,1000,34.87049441176471,8784,0.3063024229129412,0.0003063024229129412,0.3063024229129412
30_30_10_hls_power_profile.csv,30,30,1,10,1000,52.41126971428572,1733,0.09082873041485716,9.082873041485716e-05,0.09082873041485716
30_30_20_hls_power_profile.csv,30,30,1,20,1000,54.162502499999995,1536,0.08319360383999999,8.319360383999999e-05,0.08319360383999999
30_30_50_hls_power_profile.csv,30,30,1,50,1000,57.4116175,1240,0.0711904057,7.11904057e-05,0.0711904057
60_60_1_hls_power_profile.csv,60,60,1,1,1000,40.284700394736845,9983,0.40216216404065797,0.00040216216404065797,0.40216216404065797
60_60_10_hls_power_profile.csv,60,60,1,10,1000,60.46434200000001,2900,0.17534659180000003,0.00017534659180000003,0.17534659180000003
60_60_20_hls_power_profile.csv,60,60,1,20,1000,59.12740890909092,2835,0.16762620425727276,0.00016762620425727275,0.16762620425727276
100_100_1_hls_power_profile.csv,100,100,1,1,500,49.915011160000006,6587,0.32879017851092,0.00065758035702184,0.65758035702184
100_100_10_hls_power_profile.csv,100,100,1,10,500,63.08809561538462,3300,0.20819071553076923,0.00041638143106153847,0.41638143106153847
200_100_1_hls_power_profile.csv,200,100,1,1,500,59.73853312903224,8184,0.48890015512799984,0.0009778003102559997,0.9778003102559998
200_200_1_hls_power_profile.csv,200,200,1,1,500,65.9831138510638,12020,0.7931170284897869,0.0015862340569795738,1.5862340569795739
300_150_1_hls_power_profile.csv,300,150,1,1,250,67.02129792592594,7072,0.47397461893214826,0.001895898475728593,1.895898475728593
300_300_1_hls_power_profile.csv,300,300,1,1,100,68.5563999,5268,0.3611551146732,0.003611551146732,3.611551146732
400_200_1_hls_power_profile.csv,400,200,1,1,100,63.55254957894736,5008,0.31827116829136837,0.0031827116829136835,3.1827116829136837
400_300_1_hls_power_profile.csv,400,300,1,1,100,67.69038264,6604,0.44702728695456,0.0044702728695456,4.4702728695456
400_400_1_hls_power_profile.csv,400,400,1,1,100,75.08205235,8254,0.6197272600968999,0.006197272600969,6.197272600969
