grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
300,550,1,60102,1,0,9365.93,60651,70016.9
300,550,1,60102,1,1,9043.54,60665,69708.5
300,550,1,60102,1,2,9681.45,60681,70362.5
300,550,1,60102,1,3,9434.63,60676,70110.6
300,550,1,60102,1,4,9865,60671,70536
300,550,1,60102,1,5,9824.91,60665,70489.9
300,550,1,60102,1,6,9667.57,60661,70328.6
300,550,1,60102,1,7,9375.28,60685,70060.3
300,550,1,60102,1,8,9694.68,60668,70362.7
300,550,1,60102,1,9,9639.96,60678,70318
300,550,1,60102,1,10,9634.33,60674,70308.3
300,550,1,60102,1,11,9232.76,60668,69900.8
300,550,1,60102,1,12,9552.99,60678,70231
300,550,1,60102,1,13,9423.37,60673,70096.4
300,550,1,60102,1,14,8984.64,60663,69647.6
300,550,1,60102,1,15,9747.45,60673,70420.4
300,550,1,60102,1,16,9860.17,60677,70537.2
300,550,1,60102,1,17,9833.57,60695,70528.6
300,550,1,60102,1,18,9634.71,60673,70307.7
300,550,1,60102,1,19,9133.45,60687,69820.5
