grid_x,grid_y,grid_z,iters,batch_size,batch_id,init_time,main_time,total_time
30,30,1,110,1,0,77.116,190,267.116
30,30,1,110,1,1,49.234,120,169.234
30,30,1,110,1,2,49.995,89,138.995
30,30,1,110,1,3,48.993,88,136.993
30,30,1,110,1,4,49.464,93,142.464
30,30,1,110,1,5,48.823,90,138.823
30,30,1,110,1,6,48.803,88,136.803
30,30,1,110,1,7,48.752,98,146.752
30,30,1,110,1,8,48.803,81,129.803
30,30,1,110,1,9,48.672,84,132.672
30,30,1,110,1,10,48.733,83,131.733
30,30,1,110,1,11,48.672,79,127.672
30,30,1,110,1,12,48.943,81,129.943
30,30,1,110,1,13,48.773,85,133.773
30,30,1,110,1,14,66.767,83,149.767
30,30,1,110,1,15,48.763,83,131.763
30,30,1,110,1,16,48.833,81,129.833
30,30,1,110,1,17,48.943,80,128.943
30,30,1,110,1,18,48.723,79,127.723
30,30,1,110,1,19,48.592,84,132.592
30,30,1,110,1,20,48.683,82,130.683
30,30,1,110,1,21,48.772,82,130.772
30,30,1,110,1,22,48.693,80,128.693
30,30,1,110,1,23,48.632,80,128.632
30,30,1,110,1,24,48.713,80,128.713
30,30,1,110,1,25,48.762,81,129.762
30,30,1,110,1,26,48.792,90,138.792
30,30,1,110,1,27,49.223,81,130.223
30,30,1,110,1,28,48.963,79,127.963
30,30,1,110,1,29,48.843,83,131.843
30,30,1,110,1,30,48.603,81,129.603
30,30,1,110,1,31,48.722,89,137.722
30,30,1,110,1,32,48.713,79,127.713
30,30,1,110,1,33,48.823,82,130.823
30,30,1,110,1,34,49.013,79,128.013
30,30,1,110,1,35,48.572,78,126.572
30,30,1,110,1,36,48.653,80,128.653
30,30,1,110,1,37,48.622,133,181.622
30,30,1,110,1,38,48.792,80,128.792
30,30,1,110,1,39,48.772,80,128.772
30,30,1,110,1,40,48.683,80,128.683
30,30,1,110,1,41,49.093,78,127.093
30,30,1,110,1,42,48.552,77,125.552
30,30,1,110,1,43,49.023,76,125.023
30,30,1,110,1,44,48.573,78,126.573
30,30,1,110,1,45,48.762,77,125.762
30,30,1,110,1,46,48.743,76,124.743
30,30,1,110,1,47,49.083,75,124.083
30,30,1,110,1,48,48.733,75,123.733
30,30,1,110,1,49,48.802,75,123.802
30,30,1,110,1,50,48.853,75,123.853
30,30,1,110,1,51,49.403,78,127.403
30,30,1,110,1,52,43.633,76,119.633
30,30,1,110,1,53,42.852,85,127.852
30,30,1,110,1,54,43.051,78,121.051
30,30,1,110,1,55,42.842,77,119.842
30,30,1,110,1,56,42.901,86,128.901
30,30,1,110,1,57,42.751,86,128.751
30,30,1,110,1,58,43.001,78,121.001
30,30,1,110,1,59,42.972,78,120.972
30,30,1,110,1,60,42.691,77,119.691
30,30,1,110,1,61,43.022,77,120.022
30,30,1,110,1,62,42.871,77,119.871
30,30,1,110,1,63,42.822,77,119.822
30,30,1,110,1,64,42.912,78,120.912
30,30,1,110,1,65,42.852,81,123.852
30,30,1,110,1,66,42.741,78,120.741
30,30,1,110,1,67,42.951,76,118.951
30,30,1,110,1,68,43.022,75,118.022
30,30,1,110,1,69,42.781,75,117.781
30,30,1,110,1,70,42.862,88,130.862
30,30,1,110,1,71,42.651,78,120.651
30,30,1,110,1,72,42.871,76,118.871
30,30,1,110,1,73,43.653,76,119.653
30,30,1,110,1,74,42.792,85,127.792
30,30,1,110,1,75,42.991,113,155.991
30,30,1,110,1,76,42.781,86,128.781
30,30,1,110,1,77,42.742,95,137.742
30,30,1,110,1,78,42.851,86,128.851
30,30,1,110,1,79,42.902,87,129.902
30,30,1,110,1,80,43.021,89,132.021
30,30,1,110,1,81,42.691,90,132.691
30,30,1,110,1,82,42.892,90,132.892
30,30,1,110,1,83,42.921,88,130.921
30,30,1,110,1,84,42.882,79,121.882
30,30,1,110,1,85,42.972,77,119.972
30,30,1,110,1,86,42.951,79,121.951
30,30,1,110,1,87,42.972,78,120.972
30,30,1,110,1,88,42.972,80,122.972
30,30,1,110,1,89,42.761,90,132.761
30,30,1,110,1,90,42.931,78,120.931
30,30,1,110,1,91,42.782,80,122.782
30,30,1,110,1,92,43.061,79,122.061
30,30,1,110,1,93,42.852,81,123.852
30,30,1,110,1,94,43.232,85,128.232
30,30,1,110,1,95,42.881,82,124.881
30,30,1,110,1,96,42.812,88,130.812
30,30,1,110,1,97,42.851,82,124.851
30,30,1,110,1,98,42.902,78,120.902
30,30,1,110,1,99,42.761,80,122.761
