File,Grid Size X,Grid Size Y,Grid Size Z,Batch Size,Tot Batches,Average Power (W),Elapsed Time (ms),Total Energy (kJ),Energy per Batch (kJ),Estimated Energy for 100 Batches (kJ)
30_30_30_hls_power_profile.csv,30,30,30,1,100,37.0,38992,1.442704,0.01442704,1.442704
30_30_50_hls_power_profile.csv,30,30,50,1,100,37.7,44500,1.67765,0.0167765,1.6776499999999999
50_50_16_hls_power_profile.csv,50,50,16,1,100,39.42857142857143,63500,2.5037142857142856,0.025037142857142855,2.5037142857142856
50_50_30_hls_power_profile.csv,50,50,30,1,50,37.55555555555556,39492,1.483144,0.02966288,2.966288
50_50_50_hls_power_profile.csv,50,50,50,1,20,37.6,19515,0.733764,0.0366882,3.6688199999999997
75_75_75_hls_power_profile.csv,75,75,75,1,10,38.42857142857143,29530,1.1347957142857144,0.11347957142857143,11.347957142857142
100_100_100_hls_power_profile.csv,100,100,100,1,10,39.15384615384615,58990,2.3096853846153844,0.23096853846153845,23.096853846153845
125_125_125_hls_power_profile.csv,125,125,125,1,5,38.583333333333336,54477,2.10190425,0.42038085000000003,42.038085
150_150_150_hls_power_profile.csv,150,150,150,1,5,39.388888888888886,83987,3.3081546111111106,0.6616309222222221,66.1630922222222
175_175_175_hls_power_profile.csv,175,175,175,1,5,39.925925925925924,128012,5.110997629629629,1.0221995259259258,102.21995259259258
200_200_200_hls_power_profile.csv,200,200,200,1,3,39.26086956521739,108028,4.241273217391305,1.4137577391304348,141.37577391304347
225_225_225_hls_power_profile.csv,225,225,225,1,2,40.0,103013,4.120520000000001,2.0602600000000004,206.02600000000004
250_250_250_hls_power_profile.csv,250,250,250,1,2,40.44827586206897,137968,5.58056772413793,2.790283862068965,279.0283862068965
