grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
1000,1,1,60060,10,1,2728.86,399488,402217
1000,1,1,60060,11,1,2972.05,402120,405092
1000,1,1,60060,12,1,2313.14,400955,403268
1000,1,1,60060,13,1,3281.35,402088,405370
1000,1,1,60060,14,1,3075,401795,404870
1000,1,1,60060,15,1,2772.36,432662,435435
1000,1,1,60060,16,1,2691.93,402394,405086
1000,1,1,60060,17,1,2509.93,401131,403641
1000,1,1,60060,18,1,2917.89,399911,402829
1000,1,1,60060,19,1,2462.18,401241,403704
1000,1,1,60060,1,1,2996.16,403070,406066
1000,1,1,60060,20,1,2755.36,399493,402249
1000,1,1,60060,2,1,3184.44,404691,407875
1000,1,1,60060,3,1,2682.62,400846,403528
1000,1,1,60060,4,1,3227.52,401098,404325
1000,1,1,60060,5,1,2872.53,400897,403769
1000,1,1,60060,6,1,2797.67,430273,433071
1000,1,1,60060,7,1,2715.44,430864,433579
1000,1,1,60060,8,1,2942.57,429671,432614
1000,1,1,60060,9,1,2883.41,399778,402661
