grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
50,50,1,60000,0,1,2543.22,1.47951e+06,1.48205e+06
50,50,1,60000,1,1,101.831,1.48279e+06,1.48289e+06
50,50,1,60000,2,1,107.77,1.47846e+06,1.47857e+06
50,50,1,60000,3,1,105.686,1.48349e+06,1.48359e+06
50,50,1,60000,4,1,101.851,1.47953e+06,1.47963e+06
50,50,1,60000,5,1,105.357,1.48227e+06,1.48238e+06
50,50,1,60000,6,1,107.83,1.47781e+06,1.47792e+06
50,50,1,60000,7,1,105.907,1.47885e+06,1.47896e+06
50,50,1,60000,8,1,101.59,1.4784e+06,1.4785e+06
50,50,1,60000,9,1,107.89,1.47956e+06,1.47967e+06
