grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
50,50,50,60000,0,1,2540.26,1.46732e+06,1.46986e+06
50,50,50,60000,1,1,36.034,1.46473e+06,1.46477e+06
50,50,50,60000,2,1,40.55,1.46535e+06,1.46539e+06
50,50,50,60000,3,1,35.513,1.46589e+06,1.46593e+06
50,50,50,60000,4,1,35.282,1.46424e+06,1.46427e+06
50,50,50,60000,5,1,35.062,1.46628e+06,1.46631e+06
50,50,50,60000,6,1,35.193,1.46574e+06,1.46578e+06
50,50,50,60000,7,1,35.032,1.46602e+06,1.46606e+06
50,50,50,60000,8,1,36.734,1.466e+06,1.46604e+06
50,50,50,60000,9,1,35.463,1.4674e+06,1.46743e+06
