grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
300,300,1,60000,10,1,121.63,359450,359571
300,300,1,60000,11,1,128.27,359514,359642
300,300,1,60000,12,1,120.99,359727,359848
300,300,1,60000,13,1,120.569,359521,359642
300,300,1,60000,14,1,124.464,359349,359473
300,300,1,60000,15,1,123.864,359635,359759
300,300,1,60000,16,1,130.753,359692,359823
300,300,1,60000,17,1,136.182,359931,360067
300,300,1,60000,18,1,121.49,359141,359262
300,300,1,60000,19,1,144.464,361907,362052
300,300,1,60000,1,1,131.976,360452,360584
300,300,1,60000,20,1,130.053,361492,361622
300,300,1,60000,2,1,123.753,359605,359729
300,300,1,60000,3,1,127.269,359727,359854
300,300,1,60000,4,1,122.963,359666,359789
300,300,1,60000,5,1,126.417,359593,359720
300,300,1,60000,6,1,173.398,359446,359619
300,300,1,60000,7,1,122.422,359733,359856
300,300,1,60000,8,1,121.55,359375,359497
300,300,1,60000,9,1,178.765,362056,362234
