grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
400,200,1,60000,10,1,113.01,394745,395404
400,200,1,60000,11,1,163.078,394397,395034
400,200,1,60000,12,1,112.057,394898,395546
400,200,1,60000,13,1,114.918,394390,395042
400,200,1,60000,14,1,110.149,395355,396002
400,200,1,60000,15,1,112.057,395474,396128
400,200,1,60000,16,1,119.925,394837,395492
400,200,1,60000,17,1,111.103,395002,395616
400,200,1,60000,18,1,115.156,401038,401684
400,200,1,60000,19,1,117.064,398621,399274
400,200,1,60000,1,1,113.01,394102,394765
400,200,1,60000,20,1,117.064,400321,400966
400,200,1,60000,2,1,113.964,396142,396776
400,200,1,60000,3,1,121.117,399344,399979
400,200,1,60000,4,1,112.057,395159,395793
400,200,1,60000,5,1,112.772,395094,395742
400,200,1,60000,6,1,116.825,394918,395550
400,200,1,60000,7,1,114.202,394535,395183
400,200,1,60000,8,1,115.156,394296,394947
400,200,1,60000,9,1,114.918,394858,395451
