grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
400,300,1,60000,10,1,118.017,416498,417142
400,300,1,60000,11,1,116.11,419636,420302
400,300,1,60000,12,1,113.964,419581,420251
400,300,1,60000,13,1,116.11,421782,422393
400,300,1,60000,14,1,152.111,420480,421189
400,300,1,60000,15,1,123.024,418523,419181
400,300,1,60000,16,1,128.984,417171,417875
400,300,1,60000,17,1,122.786,418583,419256
400,300,1,60000,18,1,119.209,417477,418148
400,300,1,60000,19,1,114.918,421314,421964
400,300,1,60000,1,1,150.919,422904,423592
400,300,1,60000,20,1,131.13,423158,423847
400,300,1,60000,2,1,120.163,420125,420789
400,300,1,60000,3,1,116.825,416704,417365
400,300,1,60000,4,1,122.07,418986,419640
400,300,1,60000,5,1,117.064,418061,418743
400,300,1,60000,6,1,118.017,420991,421662
400,300,1,60000,7,1,115.156,418010,418681
400,300,1,60000,8,1,160.933,417036,417739
400,300,1,60000,9,1,113.01,419054,419731
