grid_x,grid_y,grid_z,iters,batch_id,batch_size,init_time,main_time,total_time
300,150,1,60000,10,1,113.01,410354,411026
300,150,1,60000,11,1,124.931,408942,409589
300,150,1,60000,12,1,112.057,403041,403668
300,150,1,60000,13,1,119.209,408880,409468
300,150,1,60000,14,1,110.865,408150,408787
300,150,1,60000,15,1,115.871,405333,406022
300,150,1,60000,16,1,116.11,413827,414482
300,150,1,60000,17,1,118.017,407811,408470
300,150,1,60000,18,1,117.064,410797,411465
300,150,1,60000,19,1,115.871,400819,401471
300,150,1,60000,1,1,113.964,409487,410135
300,150,1,60000,20,1,116.825,400932,401582
300,150,1,60000,2,1,116.11,412782,413459
300,150,1,60000,3,1,113.964,409750,410434
300,150,1,60000,4,1,114.202,418660,419309
300,150,1,60000,5,1,140.905,405384,406052
300,150,1,60000,6,1,103.951,371099,371797
300,150,1,60000,7,1,113.964,407857,408486
300,150,1,60000,8,1,113.964,402159,402753
300,150,1,60000,9,1,115.156,405870,406575
