grid_x,grid_y,grid_z,iters,batch_id,init_time,main_time,total_time
30000,1,1,60102,10,3250.98,17803.1,32985.9
30000,1,1,60102,11,2793.35,17798.9,32432.6
30000,1,1,60102,12,2247.2,17871.9,40335.1
30000,1,1,60102,13,2084.29,17781.8,31717.8
30000,1,1,60102,14,2090.96,17911.6,32208.7
30000,1,1,60102,15,2660.6,17997.9,171841
30000,1,1,60102,16,2082.5,17903.5,31796.6
30000,1,1,60102,17,2087.85,17809.8,31938.3
30000,1,1,60102,18,2082.47,17774,38943
30000,1,1,60102,19,2092.67,17743.3,31608.8
30000,1,1,60102,1,3267.32,17896.3,32993.9
30000,1,1,60102,20,2104.32,17881.1,31828.6
30000,1,1,60102,2,3575.18,17979.9,33496.6
30000,1,1,60102,3,2110.89,17882.1,31887.7
30000,1,1,60102,4,2619.8,17942.2,32539.7
30000,1,1,60102,5,2088.55,17810.7,31676.4
30000,1,1,60102,6,2113.93,17966.8,32039.3
30000,1,1,60102,7,3415.64,17911.7,33301.6
30000,1,1,60102,8,4192.06,17810.4,33889.1
30000,1,1,60102,9,3044.6,17879.8,32932.7
