grid_x,grid_y,grid_z,iters,batch_id,init_time,main_time,total_time
100,1,1,60000,100,19.397,3258.75,8066.44
100,1,1,60000,10,19.056,3228.28,8061.65
100,1,1,60000,11,16.15,3335.22,8356.53
100,1,1,60000,12,20.319,3291.7,8292.98
100,1,1,60000,13,15.28,3231.21,8004.53
100,1,1,60000,14,20.629,3287.62,8304.07
100,1,1,60000,15,23.565,3369.19,8796.2
100,1,1,60000,16,20.629,3220.56,8501.23
100,1,1,60000,17,20.169,3249.68,8385.68
100,1,1,60000,18,19.827,3391.86,8397.31
100,1,1,60000,19,19.938,3234.01,8130.97
100,1,1,60000,1,18.765,3259.96,8132.89
100,1,1,60000,20,18.325,3228.5,8277.91
100,1,1,60000,21,15.64,3373.63,8410.78
100,1,1,60000,22,19.307,3235.97,8349.75
100,1,1,60000,23,19.598,3355.74,8431.65
100,1,1,60000,24,19.717,3205.94,7888.35
100,1,1,60000,25,21.561,3278.2,8256.74
100,1,1,60000,26,20.458,3276.71,8381.59
100,1,1,60000,27,20.229,3236.91,8368.05
100,1,1,60000,28,19.437,3280.42,8273.13
100,1,1,60000,29,20.398,3249.82,8194.57
100,1,1,60000,2,20.349,3258.93,8157.84
100,1,1,60000,30,19.878,3384.75,8443.15
100,1,1,60000,31,20.569,3256.87,8403.69
100,1,1,60000,32,18.735,3339.21,8358.38
100,1,1,60000,33,16.762,3292.94,8285.9
100,1,1,60000,34,21.731,3241.38,8173.27
100,1,1,60000,35,21.922,3232.97,8389.49
100,1,1,60000,36,18.535,3375.22,8358.93
100,1,1,60000,37,20.579,3219.83,8161.85
100,1,1,60000,38,20.399,3232.38,8377.34
100,1,1,60000,39,20.278,3271.21,8311.42
100,1,1,60000,3,19.317,3374.61,8391.85
100,1,1,60000,40,18.385,3229.41,8637.8
100,1,1,60000,41,19.427,3225.96,8105.28
100,1,1,60000,42,20.198,3220.04,8292.83
100,1,1,60000,43,20.408,3269.76,8594.66
100,1,1,60000,44,15.188,3233.22,7903.11
100,1,1,60000,45,20.139,3233.83,8403.28
100,1,1,60000,46,27.553,3238.32,8614.24
100,1,1,60000,47,19.427,3336.59,8200.98
100,1,1,60000,48,20.639,3282.84,8226.38
100,1,1,60000,49,19.808,3256.41,8428.48
100,1,1,60000,4,22.543,3336.33,8397.11
100,1,1,60000,50,19.317,3232.68,8151.86
100,1,1,60000,51,19.037,3373.72,8239.04
100,1,1,60000,52,20.68,3348.44,8770.14
100,1,1,60000,53,18.516,3229.47,8399.86
100,1,1,60000,54,18.605,3235.87,8253.37
100,1,1,60000,55,18.515,3352.38,8122.19
100,1,1,60000,56,24.287,3234.62,8450.7
100,1,1,60000,57,19.958,3498.11,8586.99
100,1,1,60000,58,16.441,3239.65,8603.42
100,1,1,60000,59,19.807,3249.07,8315.64
100,1,1,60000,5,19.978,3244.11,8304.33
100,1,1,60000,60,20.088,3232.19,8511.31
100,1,1,60000,61,19.718,3262.98,8511.69
100,1,1,60000,62,14.367,3396.51,8298.17
100,1,1,60000,63,19.687,3290.3,8422.04
100,1,1,60000,64,19.197,3411.85,8324.72
100,1,1,60000,65,14.979,3240.32,8319.69
100,1,1,60000,66,21.01,3511.42,8543.63
100,1,1,60000,67,18.525,3283.92,8403.37
100,1,1,60000,68,18.565,3318.75,8114.92
100,1,1,60000,69,21.19,3514.35,8635.28
100,1,1,60000,6,20.759,3239.91,8310.94
100,1,1,60000,70,19.427,3362.19,8389.97
100,1,1,60000,71,22.934,3307.94,8265.32
100,1,1,60000,72,20.148,3245.7,8538.31
100,1,1,60000,73,19.537,3258.65,8497.8
100,1,1,60000,74,19.236,3360.45,8945.28
100,1,1,60000,75,19.126,3221.36,8033.23
100,1,1,60000,76,23.444,3429.36,8282.87
100,1,1,60000,77,21.471,3258,8391.86
100,1,1,60000,78,21.24,3277.91,8446.23
100,1,1,60000,79,20.128,3361.8,3.41362e+06
100,1,1,60000,7,24.617,3244.35,8243.47
100,1,1,60000,80,20.288,3426.08,8439.49
100,1,1,60000,81,18.014,3564.37,8560.94
100,1,1,60000,82,20.058,3262.52,8102.95
100,1,1,60000,83,18.595,3364.97,8463.03
100,1,1,60000,84,20.088,3245.56,8418.91
100,1,1,60000,85,19.748,3330.27,2.89168e+06
100,1,1,60000,86,21.661,3296,8618.62
100,1,1,60000,87,14.107,12351.4,17477.4
100,1,1,60000,88,18.665,3239.91,8625.73
100,1,1,60000,89,19.677,3223.37,8361.73
100,1,1,60000,8,19.667,3313.21,8447.51
100,1,1,60000,90,20.088,3270.49,9193.3
100,1,1,60000,91,20.119,3226.27,8348.71
100,1,1,60000,92,20.85,3325.33,8298.14
100,1,1,60000,93,19.767,3283.83,8265.74
100,1,1,60000,94,19.717,3296.09,8287.59
100,1,1,60000,95,16.551,3336.08,8254.27
100,1,1,60000,96,26.08,3631.75,8636.53
100,1,1,60000,97,23.435,3354.26,3.40934e+06
100,1,1,60000,98,19.417,3225.31,8484.81
100,1,1,60000,99,19.828,3236.18,8560.34
100,1,1,60000,9,18.666,3387.7,8329.67
