grid_x,grid_y,grid_z,iters,batch_id,init_time,main_time,total_time
50,50,50,60000,10,8985.35,239749,260914
50,50,50,60000,11,12985,239742,264645
50,50,50,60000,12,9985.95,239824,261589
50,50,50,60000,13,10000.4,239732,261739
50,50,50,60000,14,11661.6,239734,263278
50,50,50,60000,15,10782.8,239783,262631
50,50,50,60000,16,8512.1,239788,260467
50,50,50,60000,17,10942.7,239875,262912
50,50,50,60000,18,10461,239783,262188
50,50,50,60000,19,10594.4,240112,262361
50,50,50,60000,1,11779.1,239790,264735
50,50,50,60000,20,10165.8,239767,261861
50,50,50,60000,21,10495.8,239789,262074
50,50,50,60000,22,10717.3,239783,262393
50,50,50,60000,23,12859.7,239814,264548
50,50,50,60000,24,8358.91,239753,259777
50,50,50,60000,25,8317.94,239732,260322
50,50,50,60000,26,10252.5,239743,261818
50,50,50,60000,27,8759.16,239762,260396
50,50,50,60000,28,11913.2,239996,263849
50,50,50,60000,29,8340.98,239890,260311
50,50,50,60000,2,10218.9,239784,262147
50,50,50,60000,30,8390.16,240007,260243
50,50,50,60000,31,11529.5,239759,263410
50,50,50,60000,32,9835.97,239778,261760
50,50,50,60000,33,8665.26,240120,260696
50,50,50,60000,34,12679.4,239869,265105
50,50,50,60000,35,8513.29,240196,260464
50,50,50,60000,36,9365.21,239760,260383
50,50,50,60000,37,11326.7,239911,262957
50,50,50,60000,38,8358.14,239875,260188
50,50,50,60000,39,8349.73,239793,259991
50,50,50,60000,3,8483,240503,261813
50,50,50,60000,40,8461.54,240100,260461
50,50,50,60000,41,11566,239886,262736
50,50,50,60000,42,10204.8,240173,262183
50,50,50,60000,43,8644.07,240229,260881
50,50,50,60000,44,8367.22,240290,260692
50,50,50,60000,45,11340.7,239711,262942
50,50,50,60000,46,11046,239753,262991
50,50,50,60000,47,10621,239716,262311
50,50,50,60000,48,8358.19,239752,259544
50,50,50,60000,49,10906.7,239724,262497
50,50,50,60000,4,10778.9,240509,263226
50,50,50,60000,50,10618,239786,262290
50,50,50,60000,5,11587.7,239753,264313
50,50,50,60000,6,11027.5,239739,262584
50,50,50,60000,7,10080.3,239772,262986
50,50,50,60000,8,11366.8,239778,263119
50,50,50,60000,9,8370.68,239736,260107
