grid_x,grid_y,grid_z,iters,batch_id,init_time,main_time,total_time
150,150,150,60048,10,0,8.85236e+06,8.85236e+06
150,150,150,60048,1,0,8.85236e+06,8.85236e+06
150,150,150,60048,2,0,8.85236e+06,8.85236e+06
150,150,150,60048,3,0,8.85237e+06,8.85237e+06
150,150,150,60048,4,0,8.85236e+06,8.85236e+06
150,150,150,60048,5,0,8.85236e+06,8.85236e+06
150,150,150,60048,6,0,8.85236e+06,8.85236e+06
150,150,150,60048,7,0,8.85236e+06,8.85236e+06
150,150,150,60048,8,0,8.85235e+06,8.85235e+06
150,150,150,60048,9,0,8.85237e+06,8.85237e+06
