grid_x,grid_y,grid_z,iters,batch_id,init_time,main_time,total_time
30,30,1,60060,10,0,7723.16,7723.16
200,200,1,60060,11,0,25341.5,25341.5
200,200,1,60060,12,0,25443,25443
200,200,1,60060,13,0,25218.6,25218.6
200,200,1,60060,14,0,25209.3,25209.3
200,200,1,60060,15,0,25431.6,25431.6
200,200,1,60060,16,0,25170.3,25170.3
200,200,1,60060,17,0,25174.5,25174.5
200,200,1,60060,18,0,25330.2,25330.2
200,200,1,60060,19,0,25642.7,25642.7
30,30,1,60060,1,0,7519.13,7519.13
200,200,1,60060,20,0,25248.3,25248.3
200,200,1,60060,21,0,25318.5,25318.5
200,200,1,60060,22,0,25156.6,25156.6
200,200,1,60060,23,0,25362.1,25362.1
200,200,1,60060,24,0,25261.2,25261.2
200,200,1,60060,25,0,25178.3,25178.3
200,200,1,60060,26,0,25132,25132
200,200,1,60060,27,0,25618.6,25618.6
200,200,1,60060,28,0,25401.9,25401.9
200,200,1,60060,29,0,25161.6,25161.6
30,30,1,60060,2,0,7751.12,7751.12
200,200,1,60060,30,0,25178.4,25178.4
200,200,1,60060,31,0,25183.6,25183.6
200,200,1,60060,32,0,25208.7,25208.7
200,200,1,60060,33,0,25329.2,25329.2
200,200,1,60060,34,0,25143.3,25143.3
200,200,1,60060,35,0,25220.5,25220.5
200,200,1,60060,36,0,25158.8,25158.8
200,200,1,60060,37,0,25200.8,25200.8
200,200,1,60060,38,0,25303.8,25303.8
200,200,1,60060,39,0,25334.7,25334.7
30,30,1,60060,3,0,7442.77,7442.77
200,200,1,60060,40,0,25218.6,25218.6
200,200,1,60060,41,0,25161.4,25161.4
200,200,1,60060,42,0,25245.2,25245.2
200,200,1,60060,43,0,25241.5,25241.5
200,200,1,60060,44,0,25171.1,25171.1
200,200,1,60060,45,0,25157.1,25157.1
200,200,1,60060,46,0,25319.5,25319.5
200,200,1,60060,47,0,25191.3,25191.3
200,200,1,60060,48,0,25135.3,25135.3
200,200,1,60060,49,0,25183.5,25183.5
30,30,1,60060,4,0,7437.26,7437.26
200,200,1,60060,50,0,25226,25226
200,200,1,60060,51,0,25248.7,25248.7
200,200,1,60060,52,0,25174.2,25174.2
30,30,1,60060,5,0,7440.1,7440.1
30,30,1,60060,6,0,7442.34,7442.34
30,30,1,60060,7,0,7465.46,7465.46
30,30,1,60060,8,0,7579.55,7579.55
30,30,1,60060,9,0,7496.21,7496.21
