iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60000,1,100,397871.5,100,5,0.075401229,,,,,,
60000,1,150,405554.3,150,5,0.110959248,,,,,,
60000,1,200,392702.5,200,5,0.152787415,,,,,,
60000,1,500,402642.8,500,5,0.372538637,,,,,,
60000,1,1000,412352.3,1000,5,0.727533228,1,61.08666667,989,0.060414713,0.060414713,604.1471333
60000,1,2000,400978,2000,5,1.496341445,1,82.29090909,850,0.069947273,0.069947273,699.4727273
60000,1,5000,434981.5,5000,5,3.448422519,1,82.41666667,969,0.07986175,0.07986175,798.6175
60000,1,10000,433796.2,10000,5,6.915689902,1,82.85181818,873,0.072329637,0.072329637,723.2963727
60000,1,20000,461026.7,20000,5,13.01443062,1,84.00909091,865,0.072667864,0.072667864,726.6786364
60000,1,30000,463203.8,30000,5,19.42989241,1,85.04,858,0.07296432,0.07296432,729.6432
Max,,,,,,19.42989241,,,,,,
