iterations,batch_size,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S),power_batch,avg_power(W),power_elapsed_time(ms),total_energy(kJ),energy_per_batch(kJ),est_energy_for_10k_batches(kJ)
60060,1,100,5326.75,100,5,5.637583893,,,,,,
60060,1,150,5318.35,150,5,8.469732154,,,,,,
60060,1,200,5280.44,200,5,11.37405216,,,,,,
60060,1,500,5302.78,500,5,28.31533648,,,,,,
60060,1,1000,5346.69,1000,5,56.1655903,10000,35.25559804,62832,2.215179736,0.000221518,2.215179736
60060,1,2000,5305.74,2000,5,113.198159,10000,35.54033212,53531,1.902509518,0.000190251,1.902509518
60060,1,5000,5302.74,5000,5,283.1555007,10000,36.36062107,53336,1.939330086,0.000193933,1.939330086
60060,1,10000,6000.3,10000,5,500.4749763,10000,37.44643816,60741,2.2745341,0.000227453,2.2745341
60060,1,20000,10094.9,20000,5,594.9538876,5000,37.98522442,50952,1.935423155,0.000387085,3.87084631
60060,1,30000,14122.05,30000,5,637.9385429,2000,38.13940168,28762,1.096965471,0.000548483,5.484827356
Max,,,,,,637.9385429,,,,,,
