iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60102,1,100,5355.6259,100,5,5.611108872
60102,1,150,5369.985,150,5,8.394157526
60102,1,200,5367.7465,200,5,11.1968775
60102,1,500,5526.1516,500,5,27.18980782
60102,1,1000,5813.9772,1000,5,51.6875092
60102,1,2000,6275.9158,2000,5,95.76610317
60102,1,5000,7500.2498,5000,5,200.3333276
60102,1,10000,9602.5469,10000,5,312.9482242
60102,1,20000,13585.638,20000,5,442.3936513
60102,1,30000,17867.84,30000,5,504.5545516
Max,,,,,,504.5545516
