iterations,batch,grid,runtime(us),num_elements,FLOP_per_cell,throughput(GFLOP/S)
60000,1,100,2583.32,100,5,11.61296316
60000,1,150,2616.66,150,5,17.19749604
60000,1,200,2643.16,200,5,22.70010139
60000,1,500,2811.61,500,5,53.35021571
60000,1,1000,3078.61,1000,5,97.44657492
60000,1,2000,3602.29,2000,5,166.5607155
60000,1,5000,5159.73,5000,5,290.7128861
60000,1,10000,7825.37,10000,5,383.3684541
60000,1,20000,13025.66,20000,5,460.6292503
60000,1,30000,18274.5,30000,5,492.4895346
,,,,,Max,492.4895346
